,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26-322,1997,17,1093,64,48.6,12.1,13,79,4,4,16,0,2.0,23,11,12,0.99,-0.88,23.4,9.2,14.2,1.17,-0.23
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-246,2001,23,1623,71,72.1,18.0,21,74,3,2,34,0,2.22,39,18,21,1.16,-0.99,33.9,11.2,22.7,1.26,-0.1
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-004,2000,13,530,41,23.6,5.9,6,78,4,7,9,12,2.62,26,6,20,3.4,2.56,17.0,3.0,14.0,2.38,1.43
ENG-Premier League,2324,Arsenal,James Sweet,WAL,MF,20-108,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-061,1991,15,507,34,22.5,5.6,5,80,2,10,11,9,2.4,11,7,4,0.71,-0.94,10.9,5.3,5.6,1.0,-0.37
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-247,2001,1,49,49,2.2,0.5,1,49,0,0,,0,3.0,2,0,2,3.67,2.28,0.3,0.3,0.0,0.07,-1.24
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,MF,24-253,1999,24,1524,64,67.7,16.9,17,82,9,7,19,0,2.29,44,16,28,1.65,0.66,36.1,11.2,24.9,1.47,0.58
ENG-Premier League,2324,Arsenal,Karl Jakob Hein,EST,GK,21-312,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-077,1994,21,898,43,39.9,10.0,9,70,2,12,22,3,2.14,26,7,19,1.9,0.77,22.0,6.9,15.1,1.51,0.38
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,25-064,1998,22,1954,89,86.8,21.7,22,89,15,0,,1,2.23,48,19,29,1.34,-0.79,43.3,15.9,27.4,1.26,-0.18
ENG-Premier League,2324,Arsenal,Mauro Bandeira,POR,MF,20-093,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31-223,1992,2,26,13,1.2,0.3,0,,0,2,13,13,3.0,1,0,1,3.46,2.05,0.5,0.1,0.4,1.37,0.09
ENG-Premier League,2324,Arsenal,Myles Lewis-Skelly,ENG,MF,17-146,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,27-066,1996,21,1428,68,63.5,15.9,17,79,7,4,21,0,2.19,32,13,19,1.2,-0.66,30.7,10.6,20.1,1.26,-0.06
