,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,28-058,1996,16.0,3,12,6,50.0,0.75,0.37,0.25,0.5,27.6,3,0,0,0.6,0.6,0.05,2.4,2.4
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33-311,1990,4.1,0,1,0,0.0,0.24,0.0,0.0,,9.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19-309,2004,0.7,0,3,0,0.0,4.58,0.0,0.0,,20.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23-240,2000,4.0,0,4,3,75.0,1.0,0.75,0.0,0.0,13.0,0,0,0,0.6,0.6,0.15,-0.6,-0.6
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",21-163,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22-304,2001,18.5,1,8,1,12.5,0.43,0.05,0.13,1.0,8.2,0,0,0,1.2,1.2,0.15,-0.2,-0.2
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,27-198,1996,13.1,6,34,14,41.2,2.59,1.07,0.18,0.43,13.7,1,0,0,5.3,5.3,0.16,0.7,0.7
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26-235,1997,4.5,0,2,0,0.0,0.45,0.0,0.0,,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,30-175,1993,7.8,1,9,2,22.2,1.15,0.25,0.11,0.5,22.5,0,0,0,0.3,0.3,0.03,0.7,0.7
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,27-074,1996,4.6,0,5,1,20.0,1.08,0.22,0.0,0.0,20.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25-326,1998,2.4,1,2,2,100.0,0.83,0.83,0.5,0.5,6.6,0,0,0,0.9,0.9,0.45,0.1,0.1
