,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Stuttgart,Jeong Woo-yeong,KOR,"MF,FW",24-161,1999,5.3,0,11,5,45.5,2.08,0.95,0.0,0.0,17.4,0,0,0,1.2,1.2,0.11,-1.2,-1.2
GER-Bundesliga,2324,Stuttgart,Josha Vagnoman,GER,"DF,FW",23-079,2000,8.7,1,11,3,27.3,1.27,0.35,0.09,0.33,16.0,0,0,0,0.9,0.9,0.09,0.1,0.1
GER-Bundesliga,2324,Stuttgart,Jovan Milošević,SRB,"FW,MF",18-212,2005,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Leonidas Stergiou,SUI,DF,21-362,2002,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Lilian Egloff,GER,"MF,DF",21-192,2002,1.2,0,3,0,0.0,2.55,0.0,0.0,,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2
GER-Bundesliga,2324,Stuttgart,Luca Raimund,GER,"FW,MF",18-325,2005,0.3,0,2,0,0.0,6.21,0.0,0.0,,7.2,0,0,0,0.9,0.9,0.55,-0.9,-0.9
GER-Bundesliga,2324,Stuttgart,Mahmoud Dahoud,GER,MF,28-058,1996,0.7,1,1,1,100.0,1.41,1.41,1.0,1.0,11.5,0,0,0,0.5,0.5,0.5,0.5,0.5
GER-Bundesliga,2324,Stuttgart,Maximilian Mittelstädt,GER,DF,26-347,1997,13.4,2,14,5,35.7,1.04,0.37,0.14,0.4,23.0,0,0,0,0.7,0.7,0.05,1.3,1.3
GER-Bundesliga,2324,Stuttgart,Pascal Stenzel,GER,DF,27-345,1996,10.2,0,11,4,36.4,1.08,0.39,0.0,0.0,27.4,1,0,0,0.3,0.3,0.02,-0.3,-0.3
GER-Bundesliga,2324,Stuttgart,Roberto Massimo,GER,"FW,DF",23-139,2000,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Samuele Di Benedetto,GER,MF,18-227,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Stuttgart,Serhou Guirassy,GUI,FW,27-353,1996,13.7,18,52,24,46.2,3.79,1.75,0.29,0.63,14.6,2,3,3,12.9,10.5,0.2,5.1,4.5
GER-Bundesliga,2324,Stuttgart,Silas Katompa,COD,"FW,MF",25-145,1998,8.4,3,18,5,27.8,2.15,0.6,0.17,0.6,13.5,0,0,1,5.0,4.2,0.23,-2.0,-1.2
GER-Bundesliga,2324,Stuttgart,Waldemar Anton,GER,DF,27-223,1996,22.6,0,21,4,19.0,0.93,0.18,0.0,0.0,16.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2
GER-Bundesliga,2324,Union Berlin,Alex Král,CZE,MF,25-285,1998,13.3,0,12,4,33.3,0.9,0.3,0.0,0.0,21.8,0,0,0,0.9,0.9,0.07,-0.9,-0.9
GER-Bundesliga,2324,Union Berlin,Alexander Schwolow,GER,GK,31-271,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Aljoscha Kemlein,GER,MF,19-210,2004,0.3,0,1,0,0.0,3.1,0.0,0.0,,23.2,0,0,0,0.0,0.0,0.04,0.0,0.0
GER-Bundesliga,2324,Union Berlin,András Schäfer,HUN,MF,24-321,1999,6.4,1,10,2,20.0,1.55,0.31,0.1,0.5,19.0,0,0,0,0.6,0.6,0.06,0.4,0.4
GER-Bundesliga,2324,Union Berlin,Aïssa Laïdouni,TUN,MF,27-077,1996,10.5,0,13,5,38.5,1.24,0.48,0.0,0.0,21.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7
GER-Bundesliga,2324,Union Berlin,Benedict Hollerbach,GER,"FW,MF",22-287,2001,9.3,3,22,6,27.3,2.38,0.65,0.14,0.5,17.3,0,0,0,2.1,2.1,0.1,0.9,0.9
GER-Bundesliga,2324,Union Berlin,Brenden Aaronson,USA,"MF,FW",23-129,2000,6.4,1,4,2,50.0,0.62,0.31,0.25,0.5,15.9,0,0,0,0.7,0.7,0.17,0.3,0.3
GER-Bundesliga,2324,Union Berlin,Chris Bedia,CIV,FW,27-360,1996,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Christopher Trimmel,AUT,DF,37-004,1987,12.3,0,5,3,60.0,0.41,0.24,0.0,0.0,21.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5
GER-Bundesliga,2324,Union Berlin,Danilho Doekhi,NED,DF,25-243,1998,13.0,2,7,2,28.6,0.54,0.15,0.29,1.0,9.0,0,0,0,0.7,0.7,0.09,1.3,1.3
GER-Bundesliga,2324,Union Berlin,David Datro Fofana,CIV,"FW,MF",21-068,2002,7.6,1,26,12,46.2,3.43,1.58,0.04,0.08,15.6,4,0,0,2.8,2.8,0.11,-1.8,-1.8
GER-Bundesliga,2324,Union Berlin,Diogo Leite,POR,DF,25-036,1999,19.9,0,8,3,37.5,0.4,0.15,0.0,0.0,9.9,0,0,0,0.7,0.7,0.09,-0.7,-0.7
GER-Bundesliga,2324,Union Berlin,Frederik Rønnow,DEN,GK,31-208,1992,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Janik Haberer,GER,MF,29-332,1994,12.1,0,14,2,14.3,1.15,0.16,0.0,0.0,19.3,0,0,0,0.8,0.8,0.05,-0.8,-0.8
GER-Bundesliga,2324,Union Berlin,Jordan Pefok,USA,FW,27-308,1996,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Josip Juranović,CRO,DF,28-196,1995,8.5,0,9,2,22.2,1.06,0.23,0.0,0.0,20.5,2,0,0,0.6,0.6,0.06,-0.6,-0.6
GER-Bundesliga,2324,Union Berlin,Jérôme Roussillon,FRA,DF,31-053,1993,6.8,0,4,3,75.0,0.59,0.44,0.0,0.0,15.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
GER-Bundesliga,2324,Union Berlin,Kevin Behrens,GER,FW,33-025,1991,14.0,4,41,13,31.7,2.92,0.93,0.1,0.31,10.8,0,0,0,6.0,6.0,0.15,-2.0,-2.0
GER-Bundesliga,2324,Union Berlin,Kevin Vogt,GER,DF,32-158,1991,6.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Kevin Volland,GER,"FW,MF",31-213,1992,9.2,2,20,4,20.0,2.18,0.44,0.05,0.25,19.0,0,1,1,2.5,1.7,0.08,-0.5,-0.7
GER-Bundesliga,2324,Union Berlin,Leonardo Bonucci,ITA,DF,36-303,1987,5.1,1,0,0,,0.0,0.0,,,,0,1,1,0.8,0.0,,0.2,0.0
GER-Bundesliga,2324,Union Berlin,Lucas Tousart,FRA,MF,26-305,1997,9.0,0,13,1,7.7,1.44,0.11,0.0,0.0,18.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6
GER-Bundesliga,2324,Union Berlin,Mikkel Kaufmann,DEN,FW,23-056,2001,2.3,1,6,2,33.3,2.58,0.86,0.17,0.5,16.4,0,0,0,0.4,0.4,0.07,0.6,0.6
GER-Bundesliga,2324,Union Berlin,Miloš Pantović,SRB,MF,27-236,1996,0.2,1,1,1,100.0,6.0,6.0,1.0,1.0,13.2,0,0,0,0.8,0.8,0.76,0.2,0.2
GER-Bundesliga,2324,Union Berlin,Paul Jaeckel,GER,DF,25-221,1998,2.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Rani Khedira,GER,MF,30-032,1994,7.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Union Berlin,Robin Gosens,GER,DF,29-238,1994,17.1,6,25,9,36.0,1.47,0.53,0.24,0.67,12.7,0,0,0,1.6,1.6,0.07,4.4,4.4
GER-Bundesliga,2324,Union Berlin,Robin Knoche,GER,DF,31-282,1992,18.6,0,4,2,50.0,0.22,0.11,0.0,0.0,15.1,0,0,1,1.1,0.3,0.07,-1.1,-0.3
GER-Bundesliga,2324,Union Berlin,Sheraldo Becker,SUR,"FW,MF",29-019,1995,7.2,0,16,4,25.0,2.23,0.56,0.0,0.0,20.5,1,0,0,0.8,0.8,0.05,-0.8,-0.8
GER-Bundesliga,2324,Union Berlin,Yorbe Vertessen,BEL,FW,23-051,2001,1.5,0,7,3,42.9,4.6,1.97,0.0,0.0,19.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6
GER-Bundesliga,2324,Werder Bremen,Amos Pieper,GER,DF,26-042,1998,6.0,0,3,0,0.0,0.5,0.0,0.0,,11.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
GER-Bundesliga,2324,Werder Bremen,Anthony Jung,GER,"DF,FW",32-117,1991,20.4,0,3,0,0.0,0.15,0.0,0.0,,12.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
GER-Bundesliga,2324,Werder Bremen,Christian Groß,GER,"MF,DF",35-020,1989,6.2,0,2,0,0.0,0.32,0.0,0.0,,13.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3
GER-Bundesliga,2324,Werder Bremen,Dawid Kownacki,POL,"FW,MF",26-351,1997,2.9,0,12,2,16.7,4.19,0.7,0.0,0.0,13.8,0,0,0,0.8,0.8,0.07,-0.8,-0.8
GER-Bundesliga,2324,Werder Bremen,Felix Agu,GER,"DF,MF",24-154,1999,8.7,0,3,0,0.0,0.35,0.0,0.0,,17.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3
GER-Bundesliga,2324,Werder Bremen,Ilia Gruev,BUL,MF,23-298,2000,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Jens Stage,DEN,MF,27-112,1996,21.8,2,34,6,17.6,1.56,0.28,0.06,0.33,16.2,0,0,0,3.5,3.5,0.1,-1.5,-1.5
GER-Bundesliga,2324,Werder Bremen,Jiří Pavlenka,CZE,GK,31-320,1992,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Julián Malatini,ARG,DF,22-273,2001,2.6,1,2,1,50.0,0.78,0.39,0.5,1.0,19.1,0,0,0,1.0,1.0,0.48,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Justin Njinmah,GER,FW,23-105,2000,9.2,5,27,12,44.4,2.95,1.31,0.19,0.42,15.9,0,0,0,4.0,4.0,0.15,1.0,1.0
GER-Bundesliga,2324,Werder Bremen,Leon Opitz,GER,"FW,DF",18-323,2005,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Leonardo Bittencourt,GER,MF,30-071,1993,10.0,1,17,2,11.8,1.7,0.2,0.06,0.5,20.9,0,0,0,1.5,1.5,0.09,-0.5,-0.5
GER-Bundesliga,2324,Werder Bremen,Marco Friedl,AUT,DF,25-349,1998,17.4,0,5,0,0.0,0.29,0.0,0.0,,28.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
GER-Bundesliga,2324,Werder Bremen,Marvin Ducksch,GER,FW,29-358,1994,19.5,9,41,20,48.8,2.1,1.02,0.15,0.3,19.4,8,3,4,7.7,4.4,0.11,1.3,1.6
GER-Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28-231,1995,16.0,0,1,0,0.0,0.06,0.0,0.0,,9.5,0,0,0,0.1,0.1,0.1,-0.1,-0.1
GER-Bundesliga,2324,Werder Bremen,Miloš Veljković,SRB,DF,28-155,1995,12.2,1,4,2,50.0,0.33,0.16,0.25,0.5,20.3,0,0,0,0.9,0.9,0.22,0.1,0.1
GER-Bundesliga,2324,Werder Bremen,Mitchell Weiser,GER,"DF,FW",29-313,1994,19.3,2,23,6,26.1,1.19,0.31,0.09,0.33,15.8,0,0,0,1.3,1.3,0.06,0.7,0.7
GER-Bundesliga,2324,Werder Bremen,Naby Keïta,GUI,MF,29-018,1995,0.9,0,2,0,0.0,2.22,0.0,0.0,,22.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
GER-Bundesliga,2324,Werder Bremen,Nick Woltemade,GER,"FW,MF",22-014,2002,5.5,0,8,1,12.5,1.46,0.18,0.0,0.0,14.6,0,0,0,1.1,1.1,0.13,-1.1,-1.1
GER-Bundesliga,2324,Werder Bremen,Niclas Füllkrug,GER,FW,31-019,1993,2.0,0,5,1,20.0,2.5,0.5,0.0,0.0,15.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5
GER-Bundesliga,2324,Werder Bremen,Nicolai Rapp,GER,DF,27-077,1996,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Niklas Stark,GER,DF,28-320,1995,10.8,2,4,2,50.0,0.37,0.18,0.5,1.0,13.1,0,0,0,0.2,0.2,0.05,1.8,1.8
GER-Bundesliga,2324,Werder Bremen,Oliver Burke,SCO,FW,26-327,1997,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Werder Bremen,Olivier Deman,BEL,DF,23-328,2000,12.5,1,13,3,23.1,1.04,0.24,0.08,0.33,13.8,0,0,0,0.9,0.9,0.07,0.1,0.1
GER-Bundesliga,2324,Werder Bremen,Rafael Borré,COL,FW,28-166,1995,11.0,4,20,7,35.0,1.82,0.64,0.2,0.57,15.4,0,0,0,2.4,2.4,0.12,1.6,1.6
GER-Bundesliga,2324,Werder Bremen,Romano Schmid,AUT,MF,24-032,2000,19.0,2,25,7,28.0,1.31,0.37,0.08,0.29,19.4,0,0,0,3.9,3.9,0.16,-1.9,-1.9
GER-Bundesliga,2324,Werder Bremen,Senne Lynen,BEL,MF,25-009,1999,10.8,0,7,1,14.3,0.65,0.09,0.0,0.0,22.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
GER-Bundesliga,2324,Werder Bremen,Skelly Alvero,FRA,MF,21-300,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Amin Sarr,SWE,"FW,MF",22-354,2001,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Aster Vranckx,BEL,MF,21-147,2002,9.5,0,3,2,66.7,0.32,0.21,0.0,0.0,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
GER-Bundesliga,2324,Wolfsburg,Cedric Zesiger,SUI,DF,25-249,1998,10.9,0,9,1,11.1,0.83,0.09,0.0,0.0,20.6,0,0,0,0.9,0.9,0.1,-0.9,-0.9
GER-Bundesliga,2324,Wolfsburg,Dženan Pejčinović,GER,FW,19-013,2005,0.3,0,2,0,0.0,5.81,0.0,0.0,,13.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
GER-Bundesliga,2324,Wolfsburg,Jakub Kamiński,POL,"FW,MF",21-268,2002,3.3,0,7,2,28.6,2.13,0.61,0.0,0.0,14.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
GER-Bundesliga,2324,Wolfsburg,Joakim Mæhle,DEN,DF,26-284,1997,20.5,1,17,5,29.4,0.83,0.24,0.06,0.2,19.7,0,0,0,1.1,1.1,0.07,-0.1,-0.1
GER-Bundesliga,2324,Wolfsburg,Jonas Wind,DEN,FW,25-021,1999,22.4,9,52,29,55.8,2.32,1.29,0.17,0.31,14.8,0,0,1,7.9,7.0,0.14,1.1,2.0
GER-Bundesliga,2324,Wolfsburg,Kevin Behrens,GER,FW,33-025,1991,3.6,1,8,5,62.5,2.24,1.4,0.13,0.2,12.2,0,0,0,1.2,1.2,0.15,-0.2,-0.2
GER-Bundesliga,2324,Wolfsburg,Kevin Paredes,USA,"FW,MF",20-297,2003,9.0,2,12,6,50.0,1.33,0.67,0.17,0.33,16.7,0,0,0,2.2,2.2,0.18,-0.2,-0.2
GER-Bundesliga,2324,Wolfsburg,Kilian Fischer,GER,DF,23-139,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Koen Casteels,BEL,GK,31-248,1992,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Kofi Amoako,GER,MF,18-298,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Lovro Majer,CRO,"MF,FW",26-042,1998,17.7,4,27,8,29.6,1.52,0.45,0.07,0.25,22.3,2,2,2,3.9,2.3,0.09,0.1,-0.3
GER-Bundesliga,2324,Wolfsburg,Lukas Nmecha,GER,FW,25-076,1998,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Mattias Svanberg,SWE,MF,25-054,1999,16.5,1,38,9,23.7,2.31,0.55,0.03,0.11,21.1,5,0,0,2.7,2.7,0.07,-1.7,-1.7
GER-Bundesliga,2324,Wolfsburg,Maxence Lacroix,FRA,DF,23-328,2000,17.4,2,7,6,85.7,0.4,0.34,0.29,0.33,9.1,0,0,0,0.6,0.6,0.08,1.4,1.4
GER-Bundesliga,2324,Wolfsburg,Maximilian Arnold,GER,MF,29-277,1994,16.9,1,17,6,35.3,1.01,0.36,0.06,0.17,27.5,5,0,0,0.6,0.6,0.03,0.4,0.4
GER-Bundesliga,2324,Wolfsburg,Moritz Jenz,GER,DF,24-304,1999,15.0,0,5,0,0.0,0.33,0.0,0.0,,11.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
GER-Bundesliga,2324,Wolfsburg,Nicolas Cozza,FRA,DF,25-051,1999,3.1,0,1,0,0.0,0.33,0.0,0.0,,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Patrick Wimmer,AUT,FW,22-274,2001,3.3,0,2,0,0.0,0.6,0.0,0.0,,16.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3
GER-Bundesliga,2324,Wolfsburg,Pavao Pervan,AUT,GK,36-107,1987,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2324,Wolfsburg,Ridle Baku,GER,"DF,MF",25-326,1998,13.1,0,14,4,28.6,1.07,0.31,0.0,0.0,16.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7
GER-Bundesliga,2324,Wolfsburg,Rogério,BRA,DF,26-046,1998,10.0,1,4,2,50.0,0.4,0.2,0.25,0.5,15.3,0,0,0,0.3,0.3,0.09,0.7,0.7
GER-Bundesliga,2324,Wolfsburg,Sebastiaan Bornauw,BEL,DF,24-343,1999,8.2,0,6,3,50.0,0.73,0.36,0.0,0.0,10.9,0,0,0,0.4,0.4,0.07,-0.4,-0.4
GER-Bundesliga,2324,Wolfsburg,Tiago Tomás,POR,"FW,MF",21-257,2002,7.4,1,23,8,34.8,3.1,1.08,0.04,0.13,13.6,0,0,0,2.4,2.4,0.1,-1.4,-1.4
GER-Bundesliga,2324,Wolfsburg,Václav Černý,CZE,"FW,MF",26-134,1997,9.1,3,17,4,23.5,1.86,0.44,0.18,0.75,15.7,0,0,0,1.6,1.6,0.09,1.4,1.4
GER-Bundesliga,2324,Wolfsburg,Yannick Gerhardt,GER,MF,29-352,1994,10.4,2,12,7,58.3,1.16,0.68,0.17,0.29,14.4,0,0,0,1.4,1.4,0.12,0.6,0.6
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",26-131,1997,12.8,7,43,17,39.5,3.35,1.33,0.16,0.41,13.9,0,0,0,5.5,5.5,0.13,1.5,1.5
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",28-134,1995,7.9,2,15,10,66.7,1.9,1.26,0.13,0.2,12.9,0,0,0,3.0,3.0,0.2,-1.0,-1.0
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,31-009,1993,23.0,0,8,0,0.0,0.35,0.0,0.0,,11.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22-355,2001,14.9,6,31,16,51.6,2.08,1.08,0.16,0.31,14.2,0,1,1,4.7,3.9,0.12,1.3,1.1
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,"DF,MF",31-262,1992,13.1,2,31,8,25.8,2.37,0.61,0.06,0.25,17.3,0,0,0,2.0,2.0,0.06,0.0,0.0
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32-333,1991,1.2,1,5,2,40.0,4.02,1.61,0.2,0.5,12.3,0,0,0,0.4,0.4,0.08,0.6,0.6
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,22-148,2001,0.5,1,4,1,25.0,8.37,2.09,0.25,1.0,10.4,0,0,0,0.5,0.5,0.13,0.5,0.5
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,DF,23-291,2000,7.4,1,16,6,37.5,2.16,0.81,0.06,0.17,10.8,0,0,0,2.3,2.3,0.14,-1.3,-1.3
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,25-058,1999,9.9,6,40,17,42.5,4.04,1.72,0.15,0.35,14.5,0,0,0,4.4,4.4,0.11,1.6,1.6
ITA-Serie A,2324,Atalanta,Giorgio Scalvini,ITA,DF,20-079,2003,20.8,0,15,5,33.3,0.72,0.24,0.0,0.0,13.8,0,0,0,1.2,1.2,0.08,-1.2,-1.2
ITA-Serie A,2324,Atalanta,Giovanni Bonfanti,ITA,DF,21-042,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2324,Atalanta,Hans Hateboer,NED,DF,30-050,1994,5.3,0,6,2,33.3,1.13,0.37,0.0,0.0,19.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ITA-Serie A,2324,Atalanta,Isak Hien,SWE,DF,25-046,1999,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2324,Atalanta,José Luis Palomino,ARG,DF,34-054,1990,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29-298,1994,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2324,Atalanta,Leonardo Mendicino,ITA,MF,17-248,2006,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2324,Atalanta,Luis Muriel,COL,"FW,MF",32-318,1991,4.5,2,23,9,39.1,5.06,1.98,0.09,0.22,23.6,4,0,0,1.5,1.5,0.07,0.5,0.5
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23-242,2000,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2324,Atalanta,Mario Pašalić,CRO,"MF,FW",29-019,1995,11.9,4,26,10,38.5,2.19,0.84,0.15,0.4,13.6,0,0,0,4.0,4.0,0.15,0.0,0.0
ITA-Serie A,2324,Atalanta,Marten de Roon,NED,"MF,DF",32-336,1991,23.0,0,9,2,22.2,0.39,0.09,0.0,0.0,25.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3
ITA-Serie A,2324,Atalanta,Matteo Ruggeri,ITA,DF,21-232,2002,20.3,0,8,4,50.0,0.39,0.2,0.0,0.0,17.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
ITA-Serie A,2324,Atalanta,Michel Ndary Adopo,FRA,"MF,DF",23-224,2000,0.6,0,1,1,100.0,1.73,1.73,0.0,0.0,9.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ITA-Serie A,2324,Atalanta,Mitchel Bakker,NED,DF,23-253,2000,2.7,1,3,1,33.3,1.1,0.37,0.33,1.0,14.8,0,0,0,0.1,0.1,0.04,0.9,0.9
ITA-Serie A,2324,Atalanta,Nadir Zortea,ITA,DF,24-254,1999,1.7,1,2,1,50.0,1.21,0.6,0.5,1.0,22.2,0,0,0,0.1,0.1,0.04,0.9,0.9
ITA-Serie A,2324,Atalanta,Rafael Tolói,ITA,DF,33-141,1990,5.0,0,1,0,0.0,0.2,0.0,0.0,,8.9,0,0,0,0.0,0.0,0.02,0.0,0.0
ITA-Serie A,2324,Atalanta,Sead Kolašinac,BIH,DF,30-253,1993,19.1,1,10,4,40.0,0.52,0.21,0.1,0.25,11.0,0,0,0,1.0,1.0,0.1,0.0,0.0
ITA-Serie A,2324,Atalanta,Teun Koopmeiners,NED,MF,26-000,1998,20.6,8,38,11,28.9,1.84,0.53,0.16,0.55,18.4,1,2,2,5.1,3.5,0.09,2.9,2.5
ITA-Serie A,2324,Atalanta,Éderson,BRA,MF,24-236,1999,22.5,5,28,8,28.6,1.25,0.36,0.18,0.63,17.2,0,0,0,2.7,2.7,0.1,2.3,2.3
ITA-Serie A,2324,Bologna,Alexis Saelemaekers,BEL,"FW,MF",24-246,1999,12.9,1,17,4,23.5,1.31,0.31,0.06,0.25,24.2,2,0,0,1.1,1.1,0.07,-0.1,-0.1
ITA-Serie A,2324,Bologna,Charalambos Lykogiannis,GRE,DF,30-129,1993,7.9,1,10,3,30.0,1.27,0.38,0.1,0.33,22.8,3,0,0,1.1,1.1,0.11,-0.1,-0.1
ITA-Serie A,2324,Bologna,Dan Ndoye,SUI,"FW,MF",23-126,2000,12.9,0,27,11,40.7,2.09,0.85,0.0,0.0,17.7,0,0,0,2.0,2.0,0.07,-2.0,-2.0
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,24-109,1999,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2324,Bologna,Giovanni Fabbian,ITA,"MF,FW",21-045,2003,8.7,4,22,7,31.8,2.54,0.81,0.18,0.57,14.7,0,0,0,3.4,3.4,0.16,0.6,0.6
ITA-Serie A,2324,Bologna,Jens Odgaard,DEN,FW,24-334,1999,0.4,2,2,2,100.0,5.45,5.45,1.0,1.0,13.3,0,0,0,1.1,1.1,0.55,0.9,0.9
ITA-Serie A,2324,Bologna,Jesper Karlsson,SWE,FW,25-218,1998,3.6,0,6,4,66.7,1.67,1.11,0.0,0.0,26.8,1,0,0,0.4,0.4,0.07,-0.4,-0.4
ITA-Serie A,2324,Bologna,Jhon Lucumí,COL,DF,25-247,1998,13.1,0,4,1,25.0,0.3,0.08,0.0,0.0,14.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ITA-Serie A,2324,Bologna,Joshua Zirkzee,NED,FW,22-282,2001,23.3,9,66,25,37.9,2.83,1.07,0.12,0.32,17.2,2,1,1,7.3,6.5,0.1,1.7,1.5
