,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Le Havre,Arthur Desmas,FRA,GK,29-327,1994,22.0,28,0,0,3,2,32.8,0.31,6.8,0.31,92,271,33.9,461,97,43.4,36.3,148,48.0,37.4,319,18,5.6,13,0.59,12.1
FRA-Ligue 1,2324,Le Havre,Mathieu Gorgelin,FRA,GK,33-207,1990,1.0,2,1,0,0,0,2.9,0.39,0.9,0.92,3,9,33.3,17,0,47.1,33.1,2,50.0,32.5,12,0,0.0,1,1.0,14.5
FRA-Ligue 1,2324,Lens,Brice Samba,FRA,GK,29-309,1994,23.0,24,4,0,6,1,31.3,0.28,8.3,0.36,117,264,44.3,667,102,33.3,32.1,117,35.9,31.6,270,25,9.3,17,0.74,13.3
FRA-Ligue 1,2324,Lille,Lucas Chevalier,FRA,GK,22-114,2001,23.0,20,2,0,2,2,24.9,0.26,6.9,0.3,47,199,23.6,740,79,22.8,28.5,73,41.1,39.1,246,11,4.5,19,0.83,13.7
FRA-Ligue 1,2324,Lorient,Yvon Mvogo,SUI,GK,29-267,1994,23.0,44,6,1,6,0,42.3,0.26,-1.7,-0.07,90,247,36.4,634,117,29.0,31.8,136,46.3,37.4,415,20,4.8,8,0.35,8.3
FRA-Ligue 1,2324,Lyon,Anthony Lopes,POR,GK,33-150,1990,20.0,29,2,0,2,0,27.0,0.25,-2.0,-0.1,88,249,35.3,522,97,37.4,33.5,134,40.3,34.4,267,19,7.1,20,1.0,14.0
FRA-Ligue 1,2324,Lyon,Rémy Riou,FRA,GK,36-206,1987,3.0,6,0,1,0,0,4.7,0.33,-1.3,-0.44,5,24,20.8,81,13,16.0,26.1,23,47.8,39.0,32,3,9.4,3,1.0,13.4
FRA-Ligue 1,2324,Marseille,Pau López,ESP,GK,29-077,1994,21.7,23,0,1,5,0,19.7,0.24,-3.3,-0.15,54,186,29.0,666,73,23.3,28.5,95,32.6,32.2,267,8,3.0,16,0.74,14.2
FRA-Ligue 1,2324,Marseille,Rubén Blanco,ESP,GK,28-218,1995,1.3,2,0,0,0,0,1.3,0.21,-0.7,-0.55,5,12,41.7,41,6,26.8,28.4,10,10.0,27.0,24,4,16.7,1,0.74,10.4
FRA-Ligue 1,2324,Metz,Alexandre Oukidja,ALG,GK,35-224,1988,22.2,36,4,1,3,0,30.8,0.23,-5.2,-0.23,148,425,34.8,458,80,56.6,41.9,180,92.2,60.3,350,25,7.1,13,0.59,10.2
