,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,26-167,1997,24.7,15,8,1,8,6,7,14,50.0,7,19,4,15,3,18,31,0
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,"MF,FW",26-294,1997,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Hamed Junior Traorè,CIV,MF,24-012,2000,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0
ENG-Premier League,2324,Bournemouth,Illia Zabarnyi,UKR,DF,21-180,2002,25.0,41,25,19,21,1,15,34,44.1,19,36,23,13,27,68,90,3
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26-276,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Jaidon Anthony,ENG,FW,24-089,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0
ENG-Premier League,2324,Bournemouth,James Hill,ENG,DF,22-049,2002,0.8,3,2,1,2,0,1,1,100.0,0,1,1,0,2,5,6,0
ENG-Premier League,2324,Bournemouth,Joe Rothwell,ENG,MF,29-048,1995,4.3,7,2,4,2,1,2,8,25.0,6,4,2,2,3,10,2,0
ENG-Premier League,2324,Bournemouth,Justin Kluivert,NED,"MF,FW",24-299,1999,12.1,21,11,3,9,9,5,20,25.0,15,8,0,8,5,26,7,0
ENG-Premier League,2324,Bournemouth,Kieffer Moore,WAL,"FW,MF",31-204,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Lewis Cook,ENG,MF,27-025,1997,18.0,39,26,17,20,2,23,41,56.1,18,17,6,11,42,81,25,1
ENG-Premier League,2324,Bournemouth,Lloyd Kelly,ENG,DF,25-145,1998,11.2,19,15,7,9,3,12,21,57.1,9,14,7,7,7,26,40,0
ENG-Premier League,2324,Bournemouth,Luis Sinisterra,COL,"FW,MF",24-256,1999,6.5,21,10,9,8,4,8,14,57.1,6,17,0,17,8,29,3,0
ENG-Premier League,2324,Bournemouth,Marcos Senesi,ARG,DF,26-294,1997,18.3,39,19,21,16,2,15,40,37.5,25,36,17,19,23,62,82,1
ENG-Premier League,2324,Bournemouth,Marcus Tavernier,ENG,FW,24-343,1999,18.0,39,25,20,15,4,20,37,54.1,17,20,2,18,4,43,17,0
ENG-Premier League,2324,Bournemouth,Max Aarons,ENG,DF,24-055,2000,12.1,28,18,20,6,2,19,30,63.3,11,9,5,4,6,34,23,0
ENG-Premier League,2324,Bournemouth,Milos Kerkez,HUN,DF,20-113,2003,14.6,34,19,22,10,2,21,30,70.0,9,23,8,15,12,46,44,1
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34-224,1989,23.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,10,1
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27-262,1996,13.4,27,13,4,19,4,8,23,34.8,15,27,5,22,16,43,26,1
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,DF",25-229,1998,0.2,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,29-006,1995,22.0,56,29,22,21,13,27,64,42.2,37,28,5,23,33,89,25,0
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21-263,2002,7.9,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,34-160,1989,14.1,26,15,12,12,2,17,22,77.3,5,21,13,8,13,39,63,1
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,24-205,1999,14.3,12,8,6,4,2,4,13,30.8,9,14,0,14,5,17,9,0
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29-355,1994,22.8,69,43,37,25,7,27,72,37.5,45,38,2,36,39,108,47,0
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30-275,1993,23.0,32,21,21,11,0,8,17,47.1,9,34,21,13,36,68,144,2
