,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2324,Empoli,Szymon Żurkowski,POL,MF,26-156,1997,5.0,12,4,4,7,1,4,7,57.1,3,2,0,2,4,16,6,0
ITA-Serie A,2324,Empoli,Tommaso Baldanzi,ITA,"MF,FW",20-342,2003,8.3,4,2,1,1,2,3,10,30.0,7,7,0,7,2,6,0,0
ITA-Serie A,2324,Empoli,Tyronne Ebuehi,NGA,DF,28-074,1995,11.9,14,9,9,5,0,7,11,63.6,4,9,4,5,6,20,27,0
ITA-Serie A,2324,Empoli,Viktor Kovalenko,UKR,MF,28-014,1996,4.8,5,2,2,2,1,2,8,25.0,6,9,2,7,1,6,7,0
ITA-Serie A,2324,Empoli,Youssef Maleh,MAR,MF,25-190,1998,20.4,51,35,17,27,7,15,37,40.5,22,41,5,36,18,69,17,0
ITA-Serie A,2324,Fiorentina,Alfred Duncan,GHA,MF,30-355,1993,15.8,27,17,8,13,6,13,28,46.4,15,21,4,17,10,37,11,0
ITA-Serie A,2324,Fiorentina,Andrea Belotti,ITA,FW,30-070,1993,4.1,2,1,0,1,1,2,4,50.0,2,3,0,3,0,2,1,0
ITA-Serie A,2324,Fiorentina,Antonín Barák,CZE,MF,29-087,1994,2.8,2,1,1,0,1,1,4,25.0,3,4,0,4,0,2,2,0
ITA-Serie A,2324,Fiorentina,Arthur Melo,BRA,MF,27-200,1996,17.7,37,23,14,19,4,20,33,60.6,13,27,3,24,15,52,6,0
ITA-Serie A,2324,Fiorentina,Christian Kouamé,CIV,FW,26-084,1997,7.6,8,2,4,4,0,3,5,60.0,2,12,0,12,0,8,7,0
ITA-Serie A,2324,Fiorentina,Cristiano Biraghi,ITA,DF,31-180,1992,19.2,36,22,14,19,3,24,45,53.3,21,22,4,18,12,48,32,0
ITA-Serie A,2324,Fiorentina,Davide Faraoni,ITA,DF,32-126,1991,3.2,9,4,5,2,2,5,10,50.0,5,2,1,1,5,14,10,0
ITA-Serie A,2324,Fiorentina,Dodô,BRA,DF,25-103,1998,3.0,3,2,1,2,0,1,4,25.0,3,2,0,2,3,6,6,0
ITA-Serie A,2324,Fiorentina,Fabiano Parisi,ITA,DF,23-111,2000,11.1,22,10,8,8,6,12,18,66.7,6,19,4,15,12,34,20,0
ITA-Serie A,2324,Fiorentina,Giacomo Bonaventura,ITA,MF,34-190,1989,19.3,17,9,4,5,8,5,13,38.5,8,15,0,15,8,25,5,0
ITA-Serie A,2324,Fiorentina,Gino Infantino,ARG,MF,20-285,2003,0.9,1,1,0,1,0,0,1,0.0,1,3,0,3,1,2,1,0
ITA-Serie A,2324,Fiorentina,Jonathan Ikone,FRA,FW,25-302,1998,12.7,19,9,6,8,5,7,13,53.8,6,9,0,9,2,21,6,0
ITA-Serie A,2324,Fiorentina,Josip Brekalo,CRO,FW,25-250,1998,7.2,8,6,6,2,0,2,11,18.2,9,7,0,7,1,9,0,0
ITA-Serie A,2324,Fiorentina,Lorenzo Amatucci,ITA,MF,20-023,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Fiorentina,Luca Ranieri,ITA,DF,24-311,1999,14.4,5,4,5,0,0,5,10,50.0,5,18,9,9,21,26,38,0
ITA-Serie A,2324,Fiorentina,Lucas Beltrán,ARG,"FW,MF",22-336,2001,14.2,22,14,3,15,4,9,16,56.3,7,24,3,21,0,22,10,0
ITA-Serie A,2324,Fiorentina,Lucas Martínez Quarta,ARG,DF,27-294,1996,18.4,58,36,35,20,3,28,41,68.3,13,32,12,20,24,82,42,3
ITA-Serie A,2324,Fiorentina,M'Bala Nzola,ANG,FW,27-194,1996,14.1,9,6,1,3,5,4,5,80.0,1,8,0,8,0,9,18,0
ITA-Serie A,2324,Fiorentina,Maxime Lopez,FRA,MF,26-086,1997,4.2,9,4,3,4,2,2,5,40.0,3,2,0,2,2,11,6,0
ITA-Serie A,2324,Fiorentina,Michael Kayode,ITA,DF,19-233,2004,15.0,38,23,17,12,9,23,33,69.7,10,21,11,10,14,52,33,2
ITA-Serie A,2324,Fiorentina,Nicolás González,ARG,FW,25-328,1998,14.3,19,12,8,7,4,7,22,31.8,15,19,1,18,7,26,7,0
ITA-Serie A,2324,Fiorentina,Nikola Milenković,SRB,DF,26-139,1997,20.1,35,17,20,13,2,19,30,63.3,11,19,13,6,16,51,69,1
ITA-Serie A,2324,Fiorentina,Oliver Christensen,DEN,GK,24-343,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Fiorentina,Pietro Comuzzo,ITA,"DF,FW",19-008,2005,0.3,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0
ITA-Serie A,2324,Fiorentina,Pietro Terracciano,ITA,GK,33-357,1990,24.0,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,5,0
ITA-Serie A,2324,Fiorentina,Riccardo Sottil,ITA,FW,24-270,1999,7.6,8,5,4,1,3,2,6,33.3,4,9,0,9,2,10,1,0
ITA-Serie A,2324,Fiorentina,Rolando Mandragora,ITA,MF,26-244,1997,12.3,21,10,7,9,5,7,16,43.8,9,10,2,8,6,27,12,1
ITA-Serie A,2324,Fiorentina,Yerry Mina,COL,"DF,MF",29-158,1994,0.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0
ITA-Serie A,2324,Frosinone,Abdou Harroui,NED,"MF,FW",26-046,1998,9.3,17,8,7,10,0,7,15,46.7,8,15,3,12,3,20,6,0
ITA-Serie A,2324,Frosinone,Anthony Oyono,GAB,DF,22-322,2001,13.3,37,26,21,14,2,23,34,67.6,11,17,3,14,9,46,32,0
ITA-Serie A,2324,Frosinone,Arijon Ibrahimović,GER,"FW,DF",18-079,2005,4.8,7,6,4,2,1,1,8,12.5,7,4,0,4,0,7,3,0
ITA-Serie A,2324,Frosinone,Caleb Okoli,ITA,DF,22-230,2001,20.6,33,19,15,17,1,14,25,56.0,11,36,27,9,19,52,95,3
ITA-Serie A,2324,Frosinone,Demba Seck,SEN,FW,23-018,2001,2.2,5,3,1,2,2,3,3,100.0,0,3,0,3,0,5,1,0
ITA-Serie A,2324,Frosinone,Emanuele Valeri,ITA,DF,25-083,1998,3.2,8,7,5,2,1,6,7,85.7,1,2,1,1,4,12,7,0
ITA-Serie A,2324,Frosinone,Enzo Barrenechea,ARG,MF,22-282,2001,21.1,51,33,23,21,7,23,54,42.6,31,30,6,24,24,75,43,2
ITA-Serie A,2324,Frosinone,Farés Ghedjemis,FRA,"MF,FW",21-175,2002,1.1,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0
ITA-Serie A,2324,Frosinone,Francesco Gelli,ITA,"DF,MF",27-136,1996,14.6,17,11,8,2,7,9,18,50.0,9,14,2,12,11,28,24,1
ITA-Serie A,2324,Frosinone,Gennaro Borrelli,ITA,FW,23-355,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Frosinone,Giorgi Kvernadze,GEO,"FW,DF",21-021,2003,0.7,3,0,2,0,1,2,2,100.0,0,1,0,1,1,4,0,0
ITA-Serie A,2324,Frosinone,Giuseppe Caso,ITA,"FW,MF",25-081,1998,4.6,4,3,2,0,2,2,3,66.7,1,0,0,0,0,4,0,0
ITA-Serie A,2324,Frosinone,Ilario Monterisi,ITA,DF,22-071,2001,16.1,23,13,14,7,2,12,26,46.2,14,22,18,4,8,31,60,0
ITA-Serie A,2324,Frosinone,Jaime Báez,URU,"FW,MF",28-309,1995,5.5,4,1,0,2,2,0,7,0.0,7,5,0,5,4,8,1,0
ITA-Serie A,2324,Frosinone,Kaio Jorge,BRA,FW,22-035,2002,8.5,6,4,0,1,5,3,4,75.0,1,6,0,6,1,7,0,0
ITA-Serie A,2324,Frosinone,Karlo Lulić,CRO,MF,27-294,1996,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0
ITA-Serie A,2324,Frosinone,Kevin Bonifazi,ITA,DF,27-285,1996,1.0,3,2,0,3,0,0,1,0.0,1,1,0,1,1,4,6,0
ITA-Serie A,2324,Frosinone,Luca Garritano,ITA,"MF,DF",30-017,1994,5.3,9,4,7,2,0,5,15,33.3,10,13,0,13,4,13,8,1
ITA-Serie A,2324,Frosinone,Luca Mazzitelli,ITA,MF,28-105,1995,16.5,29,19,10,14,5,16,36,44.4,20,16,3,13,11,40,40,0
ITA-Serie A,2324,Frosinone,Luigi Canotto,ITA,FW,29-285,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Frosinone,Marco Brescianini,ITA,"MF,DF",24-039,2000,15.4,20,9,9,9,2,6,20,30.0,14,17,4,13,7,27,26,0
ITA-Serie A,2324,Frosinone,Marvin Cuni,ALB,FW,22-233,2001,5.2,5,3,1,2,2,3,4,75.0,1,9,1,8,1,6,0,0
ITA-Serie A,2324,Frosinone,Mateus Lusuardi,BRA,DF,20-051,2004,2.4,2,1,1,1,0,1,3,33.3,2,4,2,2,4,6,7,0
ITA-Serie A,2324,Frosinone,Matìas Soulé,ARG,"FW,MF",20-319,2003,23.2,28,17,9,12,7,11,27,40.7,16,27,2,25,14,42,7,0
ITA-Serie A,2324,Frosinone,Mehdi Bourabia,MAR,MF,32-205,1991,2.2,5,4,1,4,0,2,4,50.0,2,3,0,3,0,5,4,0
ITA-Serie A,2324,Frosinone,Michele Cerofolini,ITA,GK,25-055,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Frosinone,Nadir Zortea,ITA,DF,24-254,1999,2.0,7,4,3,4,0,2,5,40.0,3,1,0,1,2,9,8,0
ITA-Serie A,2324,Frosinone,Pol Lirola,ESP,"DF,MF",26-199,1997,7.5,11,5,4,6,1,5,15,33.3,10,8,0,8,10,21,18,0
ITA-Serie A,2324,Frosinone,Przemysław Szymiński,POL,MF,29-249,1994,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
ITA-Serie A,2324,Frosinone,Reinier,BRA,"MF,FW",22-040,2002,8.2,16,8,5,9,2,3,9,33.3,6,16,3,13,6,22,5,0
ITA-Serie A,2324,Frosinone,Riccardo Marchizza,ITA,DF,25-339,1998,12.8,7,6,4,3,0,3,13,23.1,10,10,2,8,7,14,33,0
ITA-Serie A,2324,Frosinone,Simone Romagnoli,ITA,DF,34-019,1990,19.4,22,9,14,7,1,8,11,72.7,3,28,18,10,22,44,97,0
ITA-Serie A,2324,Frosinone,Stefano Turati,ITA,GK,22-176,2001,24.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,3
ITA-Serie A,2324,Frosinone,Walid Cheddira,MAR,FW,26-037,1998,12.5,7,3,1,3,3,2,3,66.7,1,3,1,2,1,8,7,0
ITA-Serie A,2324,Genoa,Aarón Martín,ESP,DF,26-312,1997,8.4,13,6,5,6,2,7,16,43.8,9,7,1,6,5,18,7,0
ITA-Serie A,2324,Genoa,Alan Matturro,URU,DF,19-140,2004,1.0,1,1,1,0,0,1,1,100.0,0,4,1,3,2,3,3,0
ITA-Serie A,2324,Genoa,Albert Guðmundsson,ISL,"FW,MF",26-258,1997,23.8,16,7,6,7,3,9,27,33.3,18,13,2,11,10,26,7,0
ITA-Serie A,2324,Genoa,Alessandro Vogliacco,ITA,DF,25-167,1998,6.3,10,6,5,4,1,5,7,71.4,2,6,3,3,17,27,19,1
ITA-Serie A,2324,Genoa,Berkan Kutlu,TUR,MF,26-034,1998,2.2,6,4,5,1,0,3,6,50.0,3,3,0,3,4,10,5,0
ITA-Serie A,2324,Genoa,Caleb Ekuban,GHA,"FW,MF",29-342,1994,8.0,6,3,1,3,2,3,5,60.0,2,10,3,7,0,6,6,0
ITA-Serie A,2324,Genoa,Davide Biraschi,ITA,DF,29-241,1994,1.0,3,3,1,2,0,1,3,33.3,2,0,0,0,2,5,5,0
ITA-Serie A,2324,Genoa,Djed Spence,ENG,"DF,MF",23-203,2000,2.6,3,2,3,0,0,1,1,100.0,0,6,1,5,3,6,5,0
ITA-Serie A,2324,Genoa,Emil Bohinen,NOR,FW,24-353,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ITA-Serie A,2324,Genoa,Filip Jagiełło,POL,MF,26-204,1997,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0
ITA-Serie A,2324,Genoa,George Pușcaș,ROU,FW,27-326,1996,2.1,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,1,0
ITA-Serie A,2324,Genoa,Giorgio Cittadini,ITA,DF,21-316,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ITA-Serie A,2324,Genoa,Johan Vásquez,MEX,DF,25-129,1998,20.9,41,27,30,9,2,30,41,73.2,11,35,16,19,30,71,72,0
ITA-Serie A,2324,Genoa,Josep Martinez,ESP,GK,25-277,1998,25.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,3
ITA-Serie A,2324,Genoa,Junior Messias,BRA,"MF,DF",32-291,1991,6.5,18,15,12,4,2,8,15,53.3,7,5,1,4,3,21,10,0
ITA-Serie A,2324,Genoa,Kevin Strootman,NED,MF,34-015,1990,9.6,29,14,12,14,3,12,26,46.2,14,14,4,10,3,32,17,0
ITA-Serie A,2324,Genoa,Koni De Winter,BEL,DF,21-261,2002,16.4,23,16,14,8,1,11,18,61.1,7,18,4,14,16,39,54,0
ITA-Serie A,2324,Genoa,Mateo Retegui,ITA,FW,24-305,1999,15.9,11,8,6,4,1,4,12,33.3,8,12,1,11,0,11,13,0
ITA-Serie A,2324,Genoa,Mattia Bani,ITA,DF,30-080,1993,19.7,19,9,15,4,0,9,18,50.0,9,39,25,14,16,35,94,1
ITA-Serie A,2324,Genoa,Milan Badelj,CRO,MF,35-003,1989,19.2,36,21,15,19,2,19,42,45.2,23,30,7,23,38,74,33,1
ITA-Serie A,2324,Genoa,Morten Frendrup,DEN,MF,22-327,2001,24.2,98,51,32,53,13,44,67,65.7,23,38,7,31,32,130,27,1
ITA-Serie A,2324,Genoa,Morten Thorsby,NOR,MF,27-299,1996,7.6,11,7,5,5,1,5,9,55.6,4,13,2,11,4,15,9,0
ITA-Serie A,2324,Genoa,Nicola Leali,ITA,GK,31-011,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Genoa,Pablo Galdames Millán,CHI,"MF,DF",27-060,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ITA-Serie A,2324,Genoa,Radu Drăgușin,ROU,DF,22-025,2002,19.0,16,11,9,6,1,8,9,88.9,1,18,12,6,21,37,87,3
ITA-Serie A,2324,Genoa,Ridgeciano Haps,SUR,"DF,FW",30-261,1993,6.4,4,4,2,0,2,3,4,75.0,1,3,0,3,5,9,5,1
ITA-Serie A,2324,Genoa,Ruslan Malinovskyi,UKR,MF,30-300,1993,15.4,29,16,17,7,5,16,39,41.0,23,19,6,13,3,32,13,0
ITA-Serie A,2324,Genoa,Seydou Fini,ITA,"DF,FW",17-271,2006,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Genoa,Silvan Hefti,SUI,"MF,DF",26-126,1997,1.3,6,1,2,3,1,4,7,57.1,3,2,0,2,0,6,1,0
ITA-Serie A,2324,Genoa,Stefano Sabelli,ITA,DF,31-046,1993,20.7,37,17,19,15,3,11,35,31.4,24,24,4,20,19,56,26,0
ITA-Serie A,2324,Genoa,Vitinha,POR,"FW,DF",23-350,2000,0.3,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0
ITA-Serie A,2324,Hellas Verona,Bruno Amione,ARG,DF,22-056,2002,6.4,11,3,9,2,0,4,5,80.0,1,4,2,2,9,20,19,2
ITA-Serie A,2324,Hellas Verona,Charlys,BRA,MF,20-009,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Hellas Verona,Cyril Ngonge,BEL,"FW,MF",23-278,2000,15.9,14,9,5,3,6,5,14,35.7,9,7,1,6,4,18,10,0
ITA-Serie A,2324,Hellas Verona,Daniel Bandeira,POR,"MF,FW",23-323,2000,1.5,2,2,0,1,1,1,1,100.0,0,1,0,1,0,2,2,0
ITA-Serie A,2324,Hellas Verona,Darko Lazović,SRB,"FW,DF",33-166,1990,12.3,14,8,7,1,6,7,13,53.8,6,5,1,4,2,16,9,0
ITA-Serie A,2324,Hellas Verona,Davide Faraoni,ITA,DF,32-126,1991,6.7,13,10,5,6,2,7,10,70.0,3,9,5,4,6,19,21,0
ITA-Serie A,2324,Hellas Verona,Diego Coppola,ITA,DF,20-062,2003,8.1,22,13,15,6,1,11,17,64.7,6,11,3,8,12,34,44,1
ITA-Serie A,2324,Hellas Verona,Elayis Tavsan,NED,"MF,FW",22-304,2001,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
ITA-Serie A,2324,Hellas Verona,Fabien Centonze,FRA,DF,28-043,1996,1.0,2,1,1,1,0,2,3,66.7,1,1,0,1,4,6,5,0
ITA-Serie A,2324,Hellas Verona,Federico Bonazzoli,ITA,"FW,MF",26-283,1997,7.2,1,0,0,1,0,0,5,0.0,5,5,0,5,2,3,1,0
ITA-Serie A,2324,Hellas Verona,Filippo Terracciano,ITA,DF,21-020,2003,14.4,30,19,23,6,1,17,31,54.8,14,24,6,18,20,50,17,0
ITA-Serie A,2324,Hellas Verona,Giangiacomo Magnani,ITA,DF,28-147,1995,19.6,19,10,13,6,0,10,17,58.8,7,34,18,16,31,50,74,0
ITA-Serie A,2324,Hellas Verona,Isak Hien,SWE,DF,25-046,1999,9.6,17,10,10,7,0,10,19,52.6,9,12,5,7,7,24,33,1
ITA-Serie A,2324,Hellas Verona,Jackson Tchatchoua,BEL,DF,22-167,2001,13.4,28,20,20,7,1,18,35,51.4,17,15,6,9,12,40,39,1
ITA-Serie A,2324,Hellas Verona,Jordi Mboula,ESP,"FW,MF",24-349,1999,3.4,4,4,1,2,1,4,7,57.1,3,4,1,3,1,5,0,0
ITA-Serie A,2324,Hellas Verona,Josh Doig,SCO,DF,21-286,2002,9.2,16,9,9,7,0,13,17,76.5,4,12,3,9,4,20,17,1
ITA-Serie A,2324,Hellas Verona,Juan Cabal,COL,DF,23-051,2001,6.5,15,9,9,5,1,9,12,75.0,3,13,3,10,5,20,20,1
ITA-Serie A,2324,Hellas Verona,Juan Cruz,ARG,"FW,MF",24-224,1999,1.2,2,2,0,0,2,0,0,,0,1,0,1,1,3,0,0
ITA-Serie A,2324,Hellas Verona,Karol Świderski,POL,"FW,MF",27-036,1997,1.9,1,1,0,0,1,1,2,50.0,1,1,0,1,1,2,4,0
ITA-Serie A,2324,Hellas Verona,Lorenzo Montipò,ITA,GK,28-008,1996,26.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,19,1
ITA-Serie A,2324,Hellas Verona,Martin Hongla,CMR,MF,25-349,1998,12.0,24,13,9,13,2,8,11,72.7,3,8,3,5,7,31,24,0
ITA-Serie A,2324,Hellas Verona,Michael Folorunsho,NGA,"MF,FW",26-021,1998,23.4,40,24,17,16,7,17,50,34.0,33,38,10,28,17,57,33,2
ITA-Serie A,2324,Hellas Verona,Milan Đurić,BIH,FW,33-282,1990,13.4,1,0,0,0,1,0,3,0.0,3,0,0,0,1,2,13,0
ITA-Serie A,2324,Hellas Verona,Ondrej Duda,SVK,MF,29-085,1994,19.4,41,27,13,25,3,22,40,55.0,18,19,6,13,16,57,13,0
ITA-Serie A,2324,Hellas Verona,Paweł Dawidowicz,POL,DF,28-284,1995,17.1,39,24,24,14,1,13,23,56.5,10,12,7,5,16,55,83,0
ITA-Serie A,2324,Hellas Verona,Reda Belahyane,FRA,MF,19-272,2004,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
ITA-Serie A,2324,Hellas Verona,Riccardo Saponara,ITA,"FW,MF",32-069,1991,3.8,3,1,2,0,1,1,7,14.3,6,4,0,4,0,3,2,0
ITA-Serie A,2324,Hellas Verona,Rúben Vinagre,POR,"FW,MF",24-325,1999,0.8,1,0,0,0,1,0,0,,0,1,1,0,0,1,1,0
ITA-Serie A,2324,Hellas Verona,Stefan Mitrović,SRB,FW,21-197,2002,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Hellas Verona,Suat Serdar,GER,MF,26-323,1997,8.3,27,21,12,12,3,11,21,52.4,10,10,2,8,13,40,11,1
ITA-Serie A,2324,Hellas Verona,Thomas Henry,FRA,"FW,MF",29-161,1994,2.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
ITA-Serie A,2324,Hellas Verona,Tijjani Noslin,NED,FW,24-236,1999,3.7,2,1,0,1,1,0,3,0.0,3,4,0,4,0,2,4,0
ITA-Serie A,2324,Hellas Verona,Tomáš Suslov,SVK,"MF,FW",21-266,2002,15.8,23,14,8,9,6,9,28,32.1,19,11,0,11,5,28,4,0
ITA-Serie A,2324,Hellas Verona,Yayah Kallon,SLE,FW,22-243,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Inter,Alessandro Bastoni,ITA,DF,24-321,1999,17.2,31,24,21,7,3,17,27,63.0,10,15,8,7,17,48,33,0
ITA-Serie A,2324,Inter,Alexis Sánchez,CHI,FW,35-071,1988,3.3,2,2,0,2,0,0,0,,0,1,0,1,1,3,2,0
ITA-Serie A,2324,Inter,Benjamin Pavard,FRA,DF,27-337,1996,10.3,20,12,9,9,2,11,13,84.6,2,15,9,6,18,38,23,0
ITA-Serie A,2324,Inter,Carlos,BRA,DF,25-052,1999,11.6,17,13,11,6,0,6,10,60.0,4,13,5,8,9,26,33,0
ITA-Serie A,2324,Inter,Davide Frattesi,ITA,MF,24-129,1999,6.1,4,1,2,2,0,1,3,33.3,2,3,0,3,2,6,10,0
ITA-Serie A,2324,Inter,Davy Klaassen,NED,"MF,FW",31-007,1993,1.5,4,2,0,4,0,1,1,100.0,0,3,0,3,1,5,2,0
ITA-Serie A,2324,Inter,Denzel Dumfries,NED,DF,27-316,1996,13.9,19,12,7,10,2,7,18,38.9,11,15,6,9,7,26,26,0
ITA-Serie A,2324,Inter,Ebenezer Akinsanmiro,NGA,MF,19-095,2004,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ITA-Serie A,2324,Inter,Emil Audero,ITA,GK,27-041,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ITA-Serie A,2324,Inter,Federico Dimarco,ITA,DF,26-110,1997,15.2,27,18,11,11,5,13,26,50.0,13,13,2,11,8,35,26,1
ITA-Serie A,2324,Inter,Francesco Acerbi,ITA,DF,36-018,1988,18.2,18,11,14,4,0,9,12,75.0,3,10,7,3,24,42,51,0
ITA-Serie A,2324,Inter,Hakan Çalhanoğlu,TUR,MF,30-020,1994,20.7,44,23,19,19,6,22,37,59.5,15,19,8,11,12,56,16,0
ITA-Serie A,2324,Inter,Henrikh Mkhitaryan,ARM,MF,35-038,1989,22.2,51,30,12,30,9,18,35,51.4,17,14,2,12,23,74,32,0
ITA-Serie A,2324,Inter,Juan Cuadrado,COL,DF,35-278,1988,1.7,3,3,1,2,0,2,3,66.7,1,5,1,4,0,3,1,0
ITA-Serie A,2324,Inter,Kristjan Asllani,ALB,MF,21-356,2002,3.7,3,1,2,1,0,0,3,0.0,3,4,1,3,7,10,5,0
ITA-Serie A,2324,Inter,Lautaro Martínez,ARG,FW,26-190,1997,20.9,19,14,3,12,4,3,11,27.3,8,16,1,15,18,37,8,0
ITA-Serie A,2324,Inter,Lucien Agoume,FRA,MF,22-019,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Inter,Marcus Thuram,FRA,FW,26-206,1997,20.3,15,10,7,6,2,1,7,14.3,6,18,3,15,4,19,11,0
ITA-Serie A,2324,Inter,Marko Arnautović,AUT,FW,34-315,1989,5.3,4,1,2,2,0,2,3,66.7,1,6,1,5,4,8,3,0
ITA-Serie A,2324,Inter,Matteo Darmian,ITA,DF,34-088,1989,18.6,34,15,17,12,5,13,36,36.1,23,23,9,14,9,43,39,0
ITA-Serie A,2324,Inter,Nicolò Barella,ITA,MF,27-021,1997,20.5,32,19,13,13,6,13,47,27.7,34,16,0,16,6,38,7,0
ITA-Serie A,2324,Inter,Stefan de Vrij,NED,DF,32-023,1992,12.6,16,12,11,4,1,6,11,54.5,5,14,6,8,18,34,32,0
ITA-Serie A,2324,Inter,Stefano Sensi,ITA,MF,28-207,1995,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
ITA-Serie A,2324,Inter,Tajon Buchanan,CAN,DF,25-020,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Inter,Yann Aurel Bisseck,GER,DF,23-091,2000,5.3,7,3,4,2,1,4,6,66.7,2,2,1,1,0,7,11,0
ITA-Serie A,2324,Inter,Yann Sommer,SUI,GK,35-073,1988,24.0,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,5,1
ITA-Serie A,2324,Juventus,Adrien Rabiot,FRA,MF,28-331,1995,21.3,42,27,16,23,3,26,36,72.2,10,21,5,16,19,61,23,0
ITA-Serie A,2324,Juventus,Alex Sandro,BRA,DF,33-033,1991,6.0,8,3,3,5,0,3,4,75.0,1,10,5,5,8,16,17,0
ITA-Serie A,2324,Juventus,Andrea Cambiaso,ITA,"DF,FW",24-008,2000,16.9,28,20,16,8,4,17,31,54.8,14,20,1,19,7,35,18,0
ITA-Serie A,2324,Juventus,Arkadiusz Milik,POL,FW,30-000,1994,7.4,7,3,1,4,2,2,3,66.7,1,7,1,6,3,10,2,0
ITA-Serie A,2324,Juventus,Carlos Alcaraz,ARG,MF,21-090,2002,1.0,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
ITA-Serie A,2324,Juventus,Daniele Rugani,ITA,DF,29-214,1994,9.3,6,4,4,2,0,1,2,50.0,1,9,3,6,7,13,31,0
ITA-Serie A,2324,Juventus,Danilo,BRA,DF,32-228,1991,17.2,37,23,24,11,2,18,27,66.7,9,21,8,13,27,64,65,0
ITA-Serie A,2324,Juventus,Dean Huijsen,NED,DF,18-320,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ITA-Serie A,2324,Juventus,Dušan Vlahović,SRB,FW,24-031,2000,17.6,4,3,0,3,1,1,4,25.0,3,2,1,1,1,5,10,0
ITA-Serie A,2324,Juventus,Fabio Miretti,ITA,MF,20-209,2003,8.1,8,7,2,5,1,4,16,25.0,12,6,1,5,5,13,4,0
ITA-Serie A,2324,Juventus,Federico Chiesa,ITA,FW,26-126,1997,15.0,12,5,3,4,5,3,9,33.3,6,9,1,8,5,17,4,0
ITA-Serie A,2324,Juventus,Federico Gatti,ITA,DF,25-249,1998,20.8,22,13,11,10,1,14,19,73.7,5,16,10,6,13,35,68,1
ITA-Serie A,2324,Juventus,Filip Kostić,SRB,"DF,FW",31-119,1992,16.7,31,20,17,11,3,15,28,53.6,13,25,8,17,8,39,33,0
ITA-Serie A,2324,Juventus,Gleison Bremer,BRA,DF,26-347,1997,24.9,41,29,24,14,3,16,23,69.6,7,28,17,11,30,71,100,0
ITA-Serie A,2324,Juventus,Hans Nicolussi Caviglia,ITA,MF,23-255,2000,2.7,3,0,1,2,0,3,5,60.0,2,5,1,4,0,3,2,0
