,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2324,Empoli,Filippo Ranocchia,ITA,"MF,DF",22-290,2001,5.3,216,199,17,13,1,3,10,2,2,2,0,0,152,0,5
ITA-Serie A,2324,Empoli,Francesco Caputo,ITA,FW,36-206,1987,12.2,193,169,24,0,1,1,1,2,0,0,0,0,147,0,7
ITA-Serie A,2324,Empoli,Giacomo Corona,ITA,FW,20-004,2004,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
ITA-Serie A,2324,Empoli,Giuseppe Pezzella,ITA,DF,26-091,1997,3.8,252,213,39,8,1,0,19,31,0,0,0,0,205,0,11
ITA-Serie A,2324,Empoli,Jacopo Fazzini,ITA,MF,20-349,2003,9.5,376,333,41,15,3,1,42,4,22,6,12,0,260,2,13
ITA-Serie A,2324,Empoli,Liam Henderson,SCO,MF,27-309,1996,0.1,5,3,2,1,0,0,1,0,1,1,0,0,2,0,0
ITA-Serie A,2324,Empoli,Liberato Cacace,NZL,DF,23-154,2000,16.8,884,677,202,21,2,3,46,166,15,2,9,0,669,5,20
ITA-Serie A,2324,Empoli,M'Baye Niang,SEN,FW,29-071,1994,1.1,32,31,1,0,0,0,0,0,0,0,0,0,24,0,0
ITA-Serie A,2324,Empoli,Matteo Cancellieri,ITA,"FW,MF",22-016,2002,14.4,298,288,6,2,0,0,36,3,1,0,1,0,172,4,13
ITA-Serie A,2324,Empoli,Mattia Destro,ITA,"FW,MF",32-345,1991,2.4,38,31,7,0,0,0,0,0,0,0,0,0,25,0,1
ITA-Serie A,2324,Empoli,Nicolas Haas,SUI,MF,28-036,1996,1.0,51,50,1,1,1,0,0,0,0,0,0,0,46,0,1
ITA-Serie A,2324,Empoli,Nicolò Cambiaghi,ITA,"FW,MF",23-062,2000,20.2,519,485,30,1,1,1,94,5,23,3,9,0,360,4,28
ITA-Serie A,2324,Empoli,Roberto Piccoli,ITA,FW,23-032,2001,0.4,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0
ITA-Serie A,2324,Empoli,Răzvan Marin,ROU,MF,27-281,1996,11.7,513,430,81,47,7,0,44,2,28,8,17,0,380,2,10
ITA-Serie A,2324,Empoli,Samuele Perisan,ITA,GK,26-191,1997,1.0,34,21,13,1,0,0,0,0,0,0,0,0,27,0,0
ITA-Serie A,2324,Empoli,Sebastian Walukiewicz,POL,DF,23-329,2000,14.8,703,658,43,27,0,7,0,0,0,0,0,0,598,2,3
ITA-Serie A,2324,Empoli,Sebastiano Luperto,ITA,DF,27-175,1996,26.0,1320,1230,87,44,2,8,8,32,0,0,0,0,1081,3,8
ITA-Serie A,2324,Empoli,Simone Bastoni,ITA,"DF,MF",27-115,1996,4.1,215,157,57,7,1,2,20,41,9,2,4,0,147,1,7
ITA-Serie A,2324,Empoli,Steven Shpendi,ALB,"FW,MF",20-285,2003,4.4,71,59,11,1,0,0,0,1,0,0,0,0,52,1,4
ITA-Serie A,2324,Empoli,Szymon Żurkowski,POL,MF,26-156,1997,5.0,137,136,1,1,0,0,2,0,0,0,0,0,110,0,5
ITA-Serie A,2324,Empoli,Tommaso Baldanzi,ITA,"MF,FW",20-342,2003,8.3,257,223,29,6,0,0,16,9,10,4,3,0,201,5,8
ITA-Serie A,2324,Empoli,Tyronne Ebuehi,NGA,DF,28-074,1995,11.9,564,437,127,9,0,3,22,118,0,0,0,0,425,0,19
ITA-Serie A,2324,Empoli,Viktor Kovalenko,UKR,MF,28-014,1996,4.8,193,179,14,3,2,1,11,3,5,3,1,0,138,0,5
ITA-Serie A,2324,Empoli,Youssef Maleh,MAR,MF,25-190,1998,20.4,751,716,29,12,4,5,37,4,7,2,4,0,585,6,20
ITA-Serie A,2324,Fiorentina,Alfred Duncan,GHA,MF,30-355,1993,15.8,769,723,42,16,5,13,52,2,23,7,12,0,598,4,18
ITA-Serie A,2324,Fiorentina,Andrea Belotti,ITA,FW,30-070,1993,4.1,80,72,8,0,0,0,1,0,0,0,0,0,48,0,2
ITA-Serie A,2324,Fiorentina,Antonín Barák,CZE,MF,29-087,1994,2.8,142,140,2,0,0,0,1,1,0,0,0,0,113,0,5
ITA-Serie A,2324,Fiorentina,Arthur Melo,BRA,MF,27-200,1996,17.7,1204,1135,67,55,2,7,16,6,5,0,4,1,1102,2,14
ITA-Serie A,2324,Fiorentina,Christian Kouamé,CIV,FW,26-084,1997,7.6,321,311,8,1,3,1,16,5,2,0,0,0,237,2,7
ITA-Serie A,2324,Fiorentina,Cristiano Biraghi,ITA,DF,31-180,1992,19.2,1422,1044,375,72,0,14,163,229,74,21,36,0,1061,3,28
ITA-Serie A,2324,Fiorentina,Davide Faraoni,ITA,DF,32-126,1991,3.2,192,157,35,4,1,0,12,31,0,0,0,0,149,0,7
ITA-Serie A,2324,Fiorentina,Dodô,BRA,DF,25-103,1998,3.0,186,158,27,4,1,1,8,23,0,0,0,0,152,1,0
ITA-Serie A,2324,Fiorentina,Fabiano Parisi,ITA,DF,23-111,2000,11.1,709,605,103,18,1,4,33,85,0,0,0,0,582,1,20
ITA-Serie A,2324,Fiorentina,Giacomo Bonaventura,ITA,MF,34-190,1989,19.3,884,842,40,8,15,3,43,5,5,1,3,0,720,2,24
ITA-Serie A,2324,Fiorentina,Gino Infantino,ARG,MF,20-285,2003,0.9,41,38,1,0,0,1,0,0,0,0,0,0,34,2,1
ITA-Serie A,2324,Fiorentina,Jonathan Ikone,FRA,FW,25-302,1998,12.7,341,331,10,2,5,3,10,8,0,0,0,0,279,0,7
ITA-Serie A,2324,Fiorentina,Josip Brekalo,CRO,FW,25-250,1998,7.2,291,278,11,4,0,0,24,1,6,0,5,0,234,2,8
ITA-Serie A,2324,Fiorentina,Lorenzo Amatucci,ITA,MF,20-023,2004,0.2,25,25,0,0,0,1,0,0,0,0,0,0,22,0,2
ITA-Serie A,2324,Fiorentina,Luca Ranieri,ITA,DF,24-311,1999,14.4,844,804,39,25,0,2,10,14,0,0,0,0,704,1,5
ITA-Serie A,2324,Fiorentina,Lucas Beltrán,ARG,"FW,MF",22-336,2001,14.2,309,297,11,0,4,3,6,2,0,0,0,0,241,1,10
ITA-Serie A,2324,Fiorentina,Lucas Martínez Quarta,ARG,DF,27-294,1996,18.4,1188,1145,35,33,1,24,4,2,0,0,0,0,961,8,14
ITA-Serie A,2324,Fiorentina,M'Bala Nzola,ANG,FW,27-194,1996,14.1,288,277,11,0,0,0,5,3,0,0,0,0,239,0,6
ITA-Serie A,2324,Fiorentina,Maxime Lopez,FRA,MF,26-086,1997,4.2,292,278,14,9,0,2,6,1,3,0,2,0,252,0,2
ITA-Serie A,2324,Fiorentina,Michael Kayode,ITA,DF,19-233,2004,15.0,848,695,150,12,0,2,46,138,0,0,0,0,669,3,32
ITA-Serie A,2324,Fiorentina,Nicolás González,ARG,FW,25-328,1998,14.3,529,511,18,2,3,9,22,15,1,1,0,0,375,0,18
ITA-Serie A,2324,Fiorentina,Nikola Milenković,SRB,DF,26-139,1997,20.1,1143,1116,25,22,0,13,0,3,0,0,0,0,963,2,10
ITA-Serie A,2324,Fiorentina,Oliver Christensen,DEN,GK,24-343,1999,2.0,86,75,11,3,0,0,0,0,0,0,0,0,66,0,0
ITA-Serie A,2324,Fiorentina,Pietro Comuzzo,ITA,"DF,FW",19-008,2005,0.3,17,17,0,0,0,0,0,0,0,0,0,0,15,0,0
ITA-Serie A,2324,Fiorentina,Pietro Terracciano,ITA,GK,33-357,1990,24.0,882,705,173,56,0,1,0,0,0,0,0,0,699,4,0
ITA-Serie A,2324,Fiorentina,Riccardo Sottil,ITA,FW,24-270,1999,7.6,254,253,1,0,0,0,27,1,0,0,0,0,197,0,13
ITA-Serie A,2324,Fiorentina,Rolando Mandragora,ITA,MF,26-244,1997,12.3,541,506,35,19,0,5,20,2,11,2,4,0,434,0,12
ITA-Serie A,2324,Fiorentina,Yerry Mina,COL,"DF,MF",29-158,1994,0.5,17,15,2,2,0,0,0,0,0,0,0,0,15,0,0
ITA-Serie A,2324,Frosinone,Abdou Harroui,NED,"MF,FW",26-046,1998,9.3,318,302,12,3,3,2,10,4,1,0,0,0,250,4,9
ITA-Serie A,2324,Frosinone,Anthony Oyono,GAB,DF,22-322,2001,13.3,621,490,130,5,0,1,11,125,0,0,0,0,518,1,16
ITA-Serie A,2324,Frosinone,Arijon Ibrahimović,GER,"FW,DF",18-079,2005,4.8,205,195,8,1,0,2,7,4,3,2,0,0,150,2,5
ITA-Serie A,2324,Frosinone,Caleb Okoli,ITA,DF,22-230,2001,20.6,1207,1105,100,45,0,3,1,25,0,0,0,0,1006,2,10
ITA-Serie A,2324,Frosinone,Demba Seck,SEN,FW,23-018,2001,2.2,49,47,2,1,0,0,1,0,1,0,0,0,39,0,2
ITA-Serie A,2324,Frosinone,Emanuele Valeri,ITA,DF,25-083,1998,3.2,139,108,31,5,0,1,16,25,1,0,1,0,83,0,6
ITA-Serie A,2324,Frosinone,Enzo Barrenechea,ARG,MF,22-282,2001,21.1,1334,1262,68,59,1,12,0,1,0,0,0,0,1145,4,16
ITA-Serie A,2324,Frosinone,Farés Ghedjemis,FRA,"MF,FW",21-175,2002,1.1,37,36,1,0,0,0,1,1,0,0,0,0,32,0,1
ITA-Serie A,2324,Frosinone,Francesco Gelli,ITA,"DF,MF",27-136,1996,14.6,634,518,115,25,2,0,42,52,36,13,5,1,517,1,16
ITA-Serie A,2324,Frosinone,Gennaro Borrelli,ITA,FW,23-355,2000,0.3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
ITA-Serie A,2324,Frosinone,Giorgi Kvernadze,GEO,"FW,DF",21-021,2003,0.7,36,32,4,0,0,0,1,4,0,0,0,0,31,0,2
ITA-Serie A,2324,Frosinone,Giuseppe Caso,ITA,"FW,MF",25-081,1998,4.6,112,106,6,0,1,0,2,1,5,0,0,0,95,0,2
ITA-Serie A,2324,Frosinone,Ilario Monterisi,ITA,DF,22-071,2001,16.1,993,907,85,22,2,0,5,55,0,0,0,0,799,1,18
ITA-Serie A,2324,Frosinone,Jaime Báez,URU,"FW,MF",28-309,1995,5.5,200,181,19,3,0,1,24,2,14,2,10,0,140,0,7
ITA-Serie A,2324,Frosinone,Kaio Jorge,BRA,FW,22-035,2002,8.5,150,128,22,0,0,1,3,0,0,0,0,0,108,0,5
ITA-Serie A,2324,Frosinone,Karlo Lulić,CRO,MF,27-294,1996,0.2,12,12,0,0,0,0,0,0,0,0,0,0,8,0,0
ITA-Serie A,2324,Frosinone,Kevin Bonifazi,ITA,DF,27-285,1996,1.0,56,54,2,0,0,0,0,2,0,0,0,0,49,0,2
ITA-Serie A,2324,Frosinone,Luca Garritano,ITA,"MF,DF",30-017,1994,5.3,215,198,17,4,0,2,16,5,8,3,3,0,144,0,10
ITA-Serie A,2324,Frosinone,Luca Mazzitelli,ITA,MF,28-105,1995,16.5,916,872,39,25,1,8,28,3,4,2,2,0,693,5,15
ITA-Serie A,2324,Frosinone,Luigi Canotto,ITA,FW,29-285,1994,0.2,3,2,1,1,0,0,0,0,0,0,0,0,2,0,1
ITA-Serie A,2324,Frosinone,Marco Brescianini,ITA,"MF,DF",24-039,2000,15.4,545,506,38,7,3,0,12,27,0,0,0,0,432,1,14
ITA-Serie A,2324,Frosinone,Marvin Cuni,ALB,FW,22-233,2001,5.2,99,88,10,0,0,1,3,1,0,0,0,0,69,1,2
ITA-Serie A,2324,Frosinone,Mateus Lusuardi,BRA,DF,20-051,2004,2.4,154,134,19,4,0,0,1,15,0,0,0,0,134,1,0
ITA-Serie A,2324,Frosinone,Matìas Soulé,ARG,"FW,MF",20-319,2003,23.2,1057,948,104,21,18,2,68,24,59,20,14,0,819,5,23
ITA-Serie A,2324,Frosinone,Mehdi Bourabia,MAR,MF,32-205,1991,2.2,98,96,2,2,1,0,2,0,0,0,0,0,76,0,4
ITA-Serie A,2324,Frosinone,Michele Cerofolini,ITA,GK,25-055,1999,2.0,72,44,28,9,0,0,0,0,0,0,0,0,37,0,0
ITA-Serie A,2324,Frosinone,Nadir Zortea,ITA,DF,24-254,1999,2.0,91,79,12,0,0,0,6,12,0,0,0,0,70,0,2
ITA-Serie A,2324,Frosinone,Pol Lirola,ESP,"DF,MF",26-199,1997,7.5,360,295,63,3,1,1,16,60,0,0,0,0,264,2,10
ITA-Serie A,2324,Frosinone,Przemysław Szymiński,POL,MF,29-249,1994,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2324,Frosinone,Reinier,BRA,"MF,FW",22-040,2002,8.2,275,272,3,1,2,1,9,1,1,0,0,0,222,0,5
ITA-Serie A,2324,Frosinone,Riccardo Marchizza,ITA,DF,25-339,1998,12.8,558,444,112,10,0,2,22,102,0,0,0,0,423,2,16
ITA-Serie A,2324,Frosinone,Simone Romagnoli,ITA,DF,34-019,1990,19.4,1006,886,120,59,0,0,0,0,0,0,0,0,885,0,5
ITA-Serie A,2324,Frosinone,Stefano Turati,ITA,GK,22-176,2001,24.0,877,721,154,41,0,1,0,0,0,0,0,0,669,2,0
ITA-Serie A,2324,Frosinone,Walid Cheddira,MAR,FW,26-037,1998,12.5,205,177,26,0,1,2,3,1,0,0,0,0,139,2,15
ITA-Serie A,2324,Genoa,Aarón Martín,ESP,DF,26-312,1997,8.4,349,274,73,10,0,0,70,41,22,6,14,0,231,2,11
ITA-Serie A,2324,Genoa,Alan Matturro,URU,DF,19-140,2004,1.0,24,23,1,0,0,0,0,1,0,0,0,0,15,0,1
ITA-Serie A,2324,Genoa,Albert Guðmundsson,ISL,"FW,MF",26-258,1997,23.8,848,698,148,54,3,4,127,12,70,23,38,2,630,2,28
ITA-Serie A,2324,Genoa,Alessandro Vogliacco,ITA,DF,25-167,1998,6.3,277,240,36,8,0,1,3,28,0,0,0,0,213,1,3
ITA-Serie A,2324,Genoa,Berkan Kutlu,TUR,MF,26-034,1998,2.2,64,59,5,2,0,2,12,0,2,1,1,0,46,0,3
ITA-Serie A,2324,Genoa,Caleb Ekuban,GHA,"FW,MF",29-342,1994,8.0,146,142,4,0,1,0,2,0,0,0,0,0,99,0,5
ITA-Serie A,2324,Genoa,Davide Biraschi,ITA,DF,29-241,1994,1.0,37,28,9,2,0,0,0,7,0,0,0,0,31,0,0
ITA-Serie A,2324,Genoa,Djed Spence,ENG,"DF,MF",23-203,2000,2.6,81,68,13,2,0,1,0,11,0,0,0,0,61,0,3
ITA-Serie A,2324,Genoa,Emil Bohinen,NOR,FW,24-353,1999,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2324,Genoa,Filip Jagiełło,POL,MF,26-204,1997,0.4,17,17,0,0,0,0,0,0,0,0,0,0,15,0,1
ITA-Serie A,2324,Genoa,George Pușcaș,ROU,FW,27-326,1996,2.1,61,58,3,0,0,0,0,0,0,0,0,0,34,0,3
ITA-Serie A,2324,Genoa,Giorgio Cittadini,ITA,DF,21-316,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Genoa,Johan Vásquez,MEX,DF,25-129,1998,20.9,893,744,147,26,0,2,21,100,0,0,0,0,667,2,20
ITA-Serie A,2324,Genoa,Josep Martinez,ESP,GK,25-277,1998,25.0,978,764,212,96,0,3,0,0,0,0,0,0,698,2,1
ITA-Serie A,2324,Genoa,Junior Messias,BRA,"MF,DF",32-291,1991,6.5,186,171,15,3,1,2,16,7,2,0,2,0,130,0,4
ITA-Serie A,2324,Genoa,Kevin Strootman,NED,MF,34-015,1990,9.6,476,450,26,15,1,1,17,7,4,2,1,0,387,0,7
ITA-Serie A,2324,Genoa,Koni De Winter,BEL,DF,21-261,2002,16.4,730,661,69,16,1,0,3,43,0,0,0,0,632,0,11
ITA-Serie A,2324,Genoa,Mateo Retegui,ITA,FW,24-305,1999,15.9,294,278,15,0,0,0,13,1,0,0,0,0,192,1,12
ITA-Serie A,2324,Genoa,Mattia Bani,ITA,DF,30-080,1993,19.7,898,821,72,42,0,1,1,5,0,0,0,0,754,5,6
ITA-Serie A,2324,Genoa,Milan Badelj,CRO,MF,35-003,1989,19.2,941,895,43,28,3,9,11,4,0,0,0,0,759,3,16
ITA-Serie A,2324,Genoa,Morten Frendrup,DEN,MF,22-327,2001,24.2,846,814,31,6,1,4,10,19,0,0,0,0,660,1,24
ITA-Serie A,2324,Genoa,Morten Thorsby,NOR,MF,27-299,1996,7.6,194,193,1,1,0,0,6,0,0,0,0,0,119,0,6
ITA-Serie A,2324,Genoa,Nicola Leali,ITA,GK,31-011,1993,1.0,45,40,5,2,0,0,0,0,0,0,0,0,25,0,0
ITA-Serie A,2324,Genoa,Pablo Galdames Millán,CHI,"MF,DF",27-060,1996,0.1,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
ITA-Serie A,2324,Genoa,Radu Drăgușin,ROU,DF,22-025,2002,19.0,721,623,98,20,0,3,1,34,0,0,0,0,592,0,3
ITA-Serie A,2324,Genoa,Ridgeciano Haps,SUR,"DF,FW",30-261,1993,6.4,166,149,17,0,0,0,10,17,0,0,0,0,122,0,7
ITA-Serie A,2324,Genoa,Ruslan Malinovskyi,UKR,MF,30-300,1993,15.4,645,618,22,14,2,6,15,4,3,2,0,1,512,5,13
ITA-Serie A,2324,Genoa,Seydou Fini,ITA,"DF,FW",17-271,2006,0.4,14,12,2,0,0,0,1,2,0,0,0,0,9,0,0
ITA-Serie A,2324,Genoa,Silvan Hefti,SUI,"MF,DF",26-126,1997,1.3,39,30,9,0,0,0,2,9,0,0,0,0,24,0,1
ITA-Serie A,2324,Genoa,Stefano Sabelli,ITA,DF,31-046,1993,20.7,748,606,140,6,1,6,80,134,0,0,0,0,460,2,35
ITA-Serie A,2324,Genoa,Vitinha,POR,"FW,DF",23-350,2000,0.3,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
ITA-Serie A,2324,Hellas Verona,Bruno Amione,ARG,DF,22-056,2002,6.4,273,267,6,4,0,1,1,2,0,0,0,0,217,0,3
ITA-Serie A,2324,Hellas Verona,Charlys,BRA,MF,20-009,2004,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2324,Hellas Verona,Cyril Ngonge,BEL,"FW,MF",23-278,2000,15.9,361,324,35,10,4,5,51,2,10,2,7,0,234,2,12
ITA-Serie A,2324,Hellas Verona,Daniel Bandeira,POR,"MF,FW",23-323,2000,1.5,48,47,0,0,2,2,1,0,0,0,0,0,37,1,1
ITA-Serie A,2324,Hellas Verona,Darko Lazović,SRB,"FW,DF",33-166,1990,12.3,376,333,41,6,0,2,38,27,7,3,3,0,246,2,14
ITA-Serie A,2324,Hellas Verona,Davide Faraoni,ITA,DF,32-126,1991,6.7,304,235,65,4,1,4,19,59,2,0,1,0,228,4,6
ITA-Serie A,2324,Hellas Verona,Diego Coppola,ITA,DF,20-062,2003,8.1,329,319,9,8,0,4,0,1,0,0,0,0,255,1,3
ITA-Serie A,2324,Hellas Verona,Elayis Tavsan,NED,"MF,FW",22-304,2001,0.4,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
ITA-Serie A,2324,Hellas Verona,Fabien Centonze,FRA,DF,28-043,1996,1.0,36,28,8,0,0,0,3,8,0,0,0,0,24,0,2
ITA-Serie A,2324,Hellas Verona,Federico Bonazzoli,ITA,"FW,MF",26-283,1997,7.2,229,219,8,0,1,3,5,1,0,0,0,0,179,2,10
ITA-Serie A,2324,Hellas Verona,Filippo Terracciano,ITA,DF,21-020,2003,14.4,713,559,153,19,1,10,59,121,13,2,10,0,507,1,15
ITA-Serie A,2324,Hellas Verona,Giangiacomo Magnani,ITA,DF,28-147,1995,19.6,762,723,35,34,0,18,12,1,0,0,0,0,616,4,5
ITA-Serie A,2324,Hellas Verona,Isak Hien,SWE,DF,25-046,1999,9.6,394,381,13,12,0,2,0,1,0,0,0,0,324,0,2
ITA-Serie A,2324,Hellas Verona,Jackson Tchatchoua,BEL,DF,22-167,2001,13.4,583,473,110,4,0,2,53,106,0,0,0,0,445,0,11
ITA-Serie A,2324,Hellas Verona,Jordi Mboula,ESP,"FW,MF",24-349,1999,3.4,69,68,1,1,0,1,8,0,0,0,0,0,46,0,9
ITA-Serie A,2324,Hellas Verona,Josh Doig,SCO,DF,21-286,2002,9.2,338,261,74,4,0,1,30,70,0,0,0,0,251,3,9
ITA-Serie A,2324,Hellas Verona,Juan Cabal,COL,DF,23-051,2001,6.5,345,279,66,4,0,4,17,62,0,0,0,0,253,0,13
ITA-Serie A,2324,Hellas Verona,Juan Cruz,ARG,"FW,MF",24-224,1999,1.2,27,27,0,0,0,0,1,0,0,0,0,0,18,0,1
ITA-Serie A,2324,Hellas Verona,Karol Świderski,POL,"FW,MF",27-036,1997,1.9,30,23,5,0,0,0,0,0,0,0,0,0,21,2,1
ITA-Serie A,2324,Hellas Verona,Lorenzo Montipò,ITA,GK,28-008,1996,26.0,915,616,294,81,0,2,0,0,0,0,0,0,589,5,0
ITA-Serie A,2324,Hellas Verona,Martin Hongla,CMR,MF,25-349,1998,12.0,474,448,24,19,0,2,4,4,0,0,0,0,391,2,5
ITA-Serie A,2324,Hellas Verona,Michael Folorunsho,NGA,"MF,FW",26-021,1998,23.4,607,583,21,12,1,10,45,9,0,0,0,0,385,3,20
ITA-Serie A,2324,Hellas Verona,Milan Đurić,BIH,FW,33-282,1990,13.4,334,330,4,0,0,3,1,0,0,0,0,0,181,0,3
ITA-Serie A,2324,Hellas Verona,Ondrej Duda,SVK,MF,29-085,1994,19.4,854,741,110,67,5,11,59,5,36,7,21,0,666,3,14
ITA-Serie A,2324,Hellas Verona,Paweł Dawidowicz,POL,DF,28-284,1995,17.1,889,831,57,43,0,9,2,7,0,0,0,0,757,1,7
ITA-Serie A,2324,Hellas Verona,Reda Belahyane,FRA,MF,19-272,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
ITA-Serie A,2324,Hellas Verona,Riccardo Saponara,ITA,"FW,MF",32-069,1991,3.8,124,118,4,3,1,2,8,1,0,0,0,0,87,2,8
ITA-Serie A,2324,Hellas Verona,Rúben Vinagre,POR,"FW,MF",24-325,1999,0.8,27,21,6,3,0,0,4,3,0,0,0,0,16,0,1
ITA-Serie A,2324,Hellas Verona,Stefan Mitrović,SRB,FW,21-197,2002,0.4,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
ITA-Serie A,2324,Hellas Verona,Suat Serdar,GER,MF,26-323,1997,8.3,243,233,9,7,0,8,3,1,0,0,0,0,182,1,12
ITA-Serie A,2324,Hellas Verona,Thomas Henry,FRA,"FW,MF",29-161,1994,2.7,46,46,0,0,0,1,1,0,0,0,0,0,22,0,1
ITA-Serie A,2324,Hellas Verona,Tijjani Noslin,NED,FW,24-236,1999,3.7,62,59,3,0,0,0,2,0,0,0,0,0,39,0,1
ITA-Serie A,2324,Hellas Verona,Tomáš Suslov,SVK,"MF,FW",21-266,2002,15.8,396,323,70,22,0,9,52,5,18,4,14,0,292,3,16
ITA-Serie A,2324,Hellas Verona,Yayah Kallon,SLE,FW,22-243,2001,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2324,Inter,Alessandro Bastoni,ITA,DF,24-321,1999,17.2,1270,1179,88,40,1,18,54,43,0,0,0,0,1102,3,20
ITA-Serie A,2324,Inter,Alexis Sánchez,CHI,FW,35-071,1988,3.3,135,127,8,1,1,1,13,0,6,5,1,0,98,0,7
ITA-Serie A,2324,Inter,Benjamin Pavard,FRA,DF,27-337,1996,10.3,712,684,28,17,0,3,15,11,0,0,0,0,637,0,6
ITA-Serie A,2324,Inter,Carlos,BRA,DF,25-052,1999,11.6,567,486,76,6,0,1,33,64,0,0,0,0,451,5,17
ITA-Serie A,2324,Inter,Davide Frattesi,ITA,MF,24-129,1999,6.1,163,158,4,4,2,2,10,0,0,0,0,0,125,1,4
ITA-Serie A,2324,Inter,Davy Klaassen,NED,"MF,FW",31-007,1993,1.5,57,57,0,0,0,1,0,0,0,0,0,0,48,0,1
ITA-Serie A,2324,Inter,Denzel Dumfries,NED,DF,27-316,1996,13.9,592,491,98,3,0,2,34,95,0,0,0,0,439,3,13
ITA-Serie A,2324,Inter,Ebenezer Akinsanmiro,NGA,MF,19-095,2004,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0
ITA-Serie A,2324,Inter,Emil Audero,ITA,GK,27-041,1997,1.0,70,63,5,1,0,0,0,0,0,0,0,0,52,2,1
ITA-Serie A,2324,Inter,Federico Dimarco,ITA,DF,26-110,1997,15.2,905,746,156,16,1,5,139,100,40,15,21,0,689,3,27
ITA-Serie A,2324,Inter,Francesco Acerbi,ITA,DF,36-018,1988,18.2,1197,1149,47,32,0,7,6,7,0,0,0,0,1080,1,3
ITA-Serie A,2324,Inter,Hakan Çalhanoğlu,TUR,MF,30-020,1994,20.7,1635,1473,156,60,4,28,125,2,93,48,31,0,1424,6,15
ITA-Serie A,2324,Inter,Henrikh Mkhitaryan,ARM,MF,35-038,1989,22.2,1167,1148,17,11,7,10,26,6,0,0,0,0,1006,2,33
ITA-Serie A,2324,Inter,Juan Cuadrado,COL,DF,35-278,1988,1.7,107,94,13,3,0,4,11,10,0,0,0,0,89,0,0
ITA-Serie A,2324,Inter,Kristjan Asllani,ALB,MF,21-356,2002,3.7,285,253,30,10,1,1,20,0,20,7,7,0,239,2,3
ITA-Serie A,2324,Inter,Lautaro Martínez,ARG,FW,26-190,1997,20.9,569,536,29,2,6,2,9,1,0,0,0,0,442,4,20
ITA-Serie A,2324,Inter,Lucien Agoume,FRA,MF,22-019,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
ITA-Serie A,2324,Inter,Marcus Thuram,FRA,FW,26-206,1997,20.3,442,434,7,0,3,4,13,0,0,0,0,0,320,1,13
ITA-Serie A,2324,Inter,Marko Arnautović,AUT,FW,34-315,1989,5.3,143,140,2,0,2,0,5,0,0,0,0,0,106,1,4
ITA-Serie A,2324,Inter,Matteo Darmian,ITA,DF,34-088,1989,18.6,1033,917,114,16,5,9,13,98,0,0,0,0,871,2,26
ITA-Serie A,2324,Inter,Nicolò Barella,ITA,MF,27-021,1997,20.5,1379,1353,23,8,7,16,34,14,1,0,0,0,1166,3,23
ITA-Serie A,2324,Inter,Stefan de Vrij,NED,DF,32-023,1992,12.6,617,607,9,7,0,0,0,0,0,0,0,0,566,1,2
ITA-Serie A,2324,Inter,Stefano Sensi,ITA,MF,28-207,1995,0.3,45,43,2,0,1,1,1,0,2,0,1,0,41,0,0
ITA-Serie A,2324,Inter,Tajon Buchanan,CAN,DF,25-020,1999,0.3,14,13,1,0,0,0,1,1,0,0,0,0,13,0,0
ITA-Serie A,2324,Inter,Yann Aurel Bisseck,GER,DF,23-091,2000,5.3,386,370,16,11,1,2,3,5,0,0,0,0,358,0,4
ITA-Serie A,2324,Inter,Yann Sommer,SUI,GK,35-073,1988,24.0,820,661,158,25,0,1,0,0,0,0,0,0,706,1,0
ITA-Serie A,2324,Juventus,Adrien Rabiot,FRA,MF,28-331,1995,21.3,878,849,27,11,3,6,30,16,0,0,0,0,728,2,15
ITA-Serie A,2324,Juventus,Alex Sandro,BRA,DF,33-033,1991,6.0,452,383,67,10,0,1,5,48,0,0,0,0,391,2,1
ITA-Serie A,2324,Juventus,Andrea Cambiaso,ITA,"DF,FW",24-008,2000,16.9,770,705,61,7,1,3,50,44,9,2,3,0,647,4,21
