,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24-249,1999,13.7,492,446,44,2,1,3,42,42,0,0,0,0,319,2,18
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30-260,1993,24.5,1080,791,286,93,0,4,0,0,0,0,0,0,780,3,0
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,28-058,1996,16.0,803,616,184,34,7,17,70,72,39,27,5,1,588,3,15
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33-311,1990,4.1,240,212,26,0,1,0,6,26,0,0,0,0,178,2,4
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,"DF,FW",19-309,2004,0.7,40,38,2,1,0,0,7,1,0,0,0,0,27,0,3
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23-240,2000,4.0,210,196,12,3,7,3,17,3,5,4,1,0,142,2,5
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,"DF,MF",21-163,2002,0.1,10,8,2,0,0,0,1,2,0,0,0,0,6,0,0
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22-304,2001,18.5,1086,992,90,32,2,8,2,57,0,0,0,0,898,4,9
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,27-198,1996,13.1,341,315,24,6,4,2,8,8,1,0,0,0,244,2,27
ENG-Premier League,2324,Brentford,Rico Henry,ENG,DF,26-235,1997,4.5,183,165,17,2,0,3,11,15,0,0,0,0,147,1,4
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,DF,30-175,1993,7.8,430,353,74,15,0,3,41,34,24,10,10,0,313,3,6
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,DF,27-074,1996,4.6,163,139,23,12,0,0,20,5,6,4,0,0,100,1,8
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25-326,1998,2.4,84,81,3,0,0,0,0,1,0,0,0,0,61,0,5
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28-346,1995,1.5,71,45,26,11,0,0,0,0,0,0,0,0,52,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25-294,1998,22.9,972,931,38,10,3,8,38,28,0,0,0,0,757,3,18
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19-364,2004,4.7,,,,,,,8,,,,,,,,
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,27-178,1996,18.4,300,290,10,0,2,2,12,0,2,0,0,0,216,0,12
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,MF,35-294,1988,6.6,350,341,6,1,1,0,2,0,2,0,0,0,314,3,6
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,29-055,1995,7.5,700,679,21,14,1,3,1,7,0,0,0,0,638,0,2
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",21-120,2002,4.1,145,138,4,2,1,1,1,0,0,0,0,0,123,3,6
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,21-194,2002,12.0,510,455,55,9,0,0,0,0,0,0,0,0,468,0,1
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,"DF,FW",20-050,2004,0.2,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22-262,2001,19.8,1809,1751,52,27,8,6,26,1,15,6,9,0,1649,6,12
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,20-056,2004,6.6,393,390,2,2,0,1,0,0,0,0,0,0,364,1,2
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",33-094,1990,11.1,305,289,14,0,2,1,2,2,0,0,0,0,256,2,13
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,19-132,2004,13.4,262,231,29,0,0,0,0,0,0,0,0,0,217,2,10
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"MF,FW",19-067,2004,10.1,320,312,8,5,1,0,3,2,1,1,0,0,265,0,7
ENG-Premier League,2324,Brighton,Igor,BRA,DF,26-021,1998,11.0,987,920,65,17,1,3,1,43,0,0,0,0,918,2,10
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,DF,18-323,2005,9.7,498,431,67,14,0,3,10,53,0,0,0,0,418,0,4
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24-327,1999,1.5,72,72,0,0,0,0,2,0,0,0,0,0,57,0,1
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",38-055,1986,8.6,585,516,66,7,4,2,29,53,6,3,0,0,492,3,10
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23-265,2000,19.3,1887,1833,51,28,2,5,3,6,0,0,0,0,1753,3,3
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,33-194,1990,14.0,567,510,55,9,0,0,0,0,0,0,0,0,470,2,0
ENG-Premier League,2324,Brighton,João Pedro,BRA,"FW,MF",22-155,2001,15.5,562,531,27,2,4,1,17,7,2,0,0,0,448,4,16
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,32-044,1992,10.6,586,506,78,22,1,0,6,56,0,0,0,0,490,2,9
ENG-Premier League,2324,Brighton,Julio César Enciso,PAR,"MF,FW",20-036,2004,1.0,34,33,1,0,1,0,1,0,0,0,0,0,20,0,2
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,FW,26-284,1997,16.5,650,639,9,1,3,0,44,7,1,0,0,0,509,2,18
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,32-099,1991,21.7,2313,2174,130,77,2,11,5,3,0,0,0,0,2127,9,5
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,28-058,1996,5.0,328,326,2,2,1,0,3,0,0,0,0,0,284,0,8
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32-258,1991,23.2,2167,1948,210,80,5,14,159,38,91,41,34,2,1847,9,25
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,DF,26-038,1998,9.9,712,633,76,14,1,3,43,52,10,6,0,0,603,3,8
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,FW,22-058,2002,14.7,518,499,18,2,4,1,45,12,4,0,0,0,395,1,12
ENG-Premier League,2324,Brighton,Solly March,ENG,"FW,DF",29-223,1994,6.2,261,222,39,8,1,1,21,19,12,6,2,0,203,0,7
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,FW",23-151,2000,5.7,292,256,35,1,0,0,17,34,0,0,0,0,245,1,5
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,"MF,FW",21-038,2003,5.9,151,141,9,1,1,0,2,2,0,0,0,0,118,1,9
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21-359,2002,11.7,637,590,45,11,2,2,3,34,0,0,0,0,537,2,6
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,"FW,MF",23-113,2000,1.7,70,65,5,0,0,0,11,0,4,2,2,0,43,0,4
ENG-Premier League,2324,Burnley,Benson Manuel,BEL,"MF,FW",26-337,1997,0.9,37,32,4,0,0,0,7,1,3,0,1,0,29,1,3
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,30-163,1993,17.1,857,724,129,12,0,6,36,117,0,0,0,0,660,4,17
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,28-158,1995,9.1,495,406,87,13,0,2,10,74,0,0,0,0,395,2,9
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24-361,1999,21.4,1189,1154,29,19,2,6,6,8,0,0,0,0,949,6,13
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,21-068,2002,3.7,45,40,3,0,1,0,0,0,0,0,0,0,27,2,4
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,"MF,DF",22-236,2001,0.2,12,11,1,0,0,0,2,1,0,0,0,0,6,0,1
ENG-Premier League,2324,Burnley,Hannes Delcroix,BEL,DF,25-000,1999,6.3,346,317,28,2,0,0,5,26,0,0,0,0,298,1,2
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,25-130,1998,3.6,157,154,3,3,0,1,0,0,0,0,0,0,137,0,0
ENG-Premier League,2324,Burnley,Jack Cork,ENG,MF,34-248,1989,0.2,24,22,2,2,0,0,1,0,0,0,0,0,16,0,2
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,"MF,FW",25-162,1998,5.4,196,171,24,4,1,1,22,3,16,4,7,0,140,1,6
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,21-141,2002,26.0,1388,1088,290,112,1,3,0,0,0,0,0,0,923,10,5
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34-214,1989,8.1,184,184,0,0,1,3,1,0,0,0,0,0,117,0,4
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23-285,2000,13.7,861,840,19,14,1,5,0,4,0,0,0,0,766,2,9
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,28-071,1995,22.0,950,849,96,28,4,3,56,13,48,23,8,2,725,5,14
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27-327,1996,11.0,619,593,24,22,2,1,5,0,2,0,1,0,525,2,9
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,MF,33-124,1990,11.6,445,376,67,26,4,3,60,2,36,18,10,4,321,2,13
ENG-Premier League,2324,Burnley,Lorenz Assignon,TOG,DF,23-251,2000,3.9,100,71,28,0,0,0,5,28,0,0,0,0,68,1,6
ENG-Premier League,2324,Burnley,Luca Koleosho,ITA,"MF,FW",19-166,2004,10.8,274,267,6,2,0,0,23,4,0,0,0,0,192,1,16
ENG-Premier League,2324,Burnley,Lyle Foster,RSA,FW,23-178,2000,12.5,254,235,17,1,1,4,3,1,0,0,0,0,167,2,9
ENG-Premier League,2324,Burnley,Maxime Estève,FRA,DF,21-278,2002,3.1,141,141,0,0,0,0,0,0,0,0,0,0,105,0,3
ENG-Premier League,2324,Burnley,Michael Obafemi,IRL,"FW,MF",23-237,2000,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"FW,MF",24-276,1999,4.5,174,152,22,2,0,0,29,2,18,5,10,0,117,0,9
ENG-Premier League,2324,Burnley,Nathan Redmond,ENG,"FW,MF",29-359,1994,1.6,73,71,0,0,0,1,3,0,0,0,0,0,48,2,1
ENG-Premier League,2324,Burnley,Sander Berge,NOR,MF,26-014,1998,21.4,866,847,17,8,2,5,8,1,0,0,0,0,738,2,8
ENG-Premier League,2324,Burnley,Vitinho,BRA,DF,24-220,1999,16.0,700,545,152,6,1,1,36,146,0,0,0,0,513,3,21
