,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Everton,James Garner,ENG,MF,22-352,2001,23.9,1149,65,225,554,383,26,1149,29,15,51.7,11,37.9,524,2619,1016,22,26,3,27,10,582,48
ENG-Premier League,2324,Everton,James Tarkowski,ENG,DF,31-101,1992,26.0,1382,248,679,582,129,61,1382,16,12,75.0,4,25.0,635,3223,1878,6,7,0,10,12,735,16
ENG-Premier League,2324,Everton,Jarrad Branthwaite,ENG,DF,21-246,2002,23.0,1157,200,619,505,36,24,1157,6,4,66.7,1,16.7,498,1958,830,0,4,1,11,0,567,3
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29-358,1994,26.0,1112,730,1025,92,0,0,1112,0,0,,0,,605,3958,2723,1,0,0,0,0,505,0
ENG-Premier League,2324,Everton,Lewis Dobbin,ENG,MF,21-056,2003,2.0,95,0,22,28,49,7,95,17,6,35.3,11,64.7,67,514,184,6,10,4,9,5,57,13
ENG-Premier League,2324,Everton,Michael Keane,ENG,DF,31-048,1993,4.5,241,35,113,107,22,10,241,1,1,100.0,0,0.0,137,513,234,3,1,0,2,3,151,2
ENG-Premier League,2324,Everton,Nathan Patterson,SCO,DF,22-135,2001,10.7,636,47,194,262,186,8,636,17,6,35.3,10,58.8,277,1192,620,17,12,4,19,6,315,32
ENG-Premier League,2324,Everton,Neal Maupay,FRA,FW,27-198,1996,1.2,40,1,1,21,19,8,40,0,0,,0,,20,89,34,1,1,1,6,3,28,6
ENG-Premier League,2324,Everton,Séamus Coleman,IRL,DF,35-140,1988,2.6,133,16,45,53,36,1,133,4,3,75.0,1,25.0,62,308,124,1,2,0,4,3,64,7
ENG-Premier League,2324,Everton,Thomas Cannon,IRL,FW,21-062,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Everton,Tyler Onyango,ENG,MF,20-361,2003,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
