,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Werder Bremen,Anthony Jung,GER,"DF,FW",32-117,1991,20.4,1414,188,712,647,58,6,1414,2,2,100.0,0,0.0,769,3889,1904,15,7,1,9,1,901,16
GER-Bundesliga,2324,Werder Bremen,Christian Groß,GER,"MF,DF",35-020,1989,6.2,401,19,153,215,39,4,401,1,1,100.0,0,0.0,224,1416,835,12,5,1,10,3,242,4
GER-Bundesliga,2324,Werder Bremen,Dawid Kownacki,POL,"FW,MF",26-351,1997,2.9,110,2,6,45,59,19,110,3,2,66.7,1,33.3,50,234,64,3,1,2,11,1,86,20
GER-Bundesliga,2324,Werder Bremen,Felix Agu,GER,"DF,MF",24-154,1999,8.7,411,26,143,166,108,13,411,23,10,43.5,11,47.8,216,1266,727,22,9,3,15,5,222,42
GER-Bundesliga,2324,Werder Bremen,Ilia Gruev,BUL,MF,23-298,2000,0.0,3,0,0,3,0,0,3,0,0,,0,,2,1,0,0,0,0,2,0,2,0
GER-Bundesliga,2324,Werder Bremen,Jens Stage,DEN,MF,27-112,1996,21.8,1125,64,318,627,197,49,1125,12,6,50.0,5,41.7,529,2216,1069,17,13,3,13,9,644,43
GER-Bundesliga,2324,Werder Bremen,Jiří Pavlenka,CZE,GK,31-320,1992,7.0,266,233,266,0,0,0,266,0,0,,0,,127,886,544,0,0,0,1,0,94,0
GER-Bundesliga,2324,Werder Bremen,Julián Malatini,ARG,DF,22-273,2001,2.6,200,14,101,86,14,3,200,4,4,100.0,0,0.0,117,660,316,5,1,0,5,1,117,2
GER-Bundesliga,2324,Werder Bremen,Justin Njinmah,GER,FW,23-105,2000,9.2,314,5,37,118,169,49,314,57,23,40.4,27,47.4,202,1460,698,28,19,18,31,7,217,80
GER-Bundesliga,2324,Werder Bremen,Leon Opitz,GER,"FW,DF",18-323,2005,0.2,14,0,4,6,4,1,14,2,1,50.0,1,50.0,9,49,27,1,1,1,2,0,8,2
GER-Bundesliga,2324,Werder Bremen,Leonardo Bittencourt,GER,MF,30-071,1993,10.0,549,12,105,298,157,19,549,26,11,42.3,14,53.8,351,2198,1110,36,28,4,21,5,384,34
GER-Bundesliga,2324,Werder Bremen,Marco Friedl,AUT,DF,25-349,1998,17.4,1019,161,590,416,28,3,1019,6,5,83.3,1,16.7,554,2697,1317,1,5,0,10,3,581,2
GER-Bundesliga,2324,Werder Bremen,Marvin Ducksch,GER,FW,29-358,1994,19.5,810,19,62,373,377,67,806,19,8,42.1,11,57.9,432,1410,552,9,15,1,36,13,563,105
GER-Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28-231,1995,16.0,694,600,690,4,1,1,694,0,0,,0,,479,3168,1615,0,0,0,3,0,377,0
GER-Bundesliga,2324,Werder Bremen,Miloš Veljković,SRB,DF,28-155,1995,12.2,853,72,407,412,39,7,853,4,3,75.0,1,25.0,540,2747,1634,7,4,1,3,0,599,7
GER-Bundesliga,2324,Werder Bremen,Mitchell Weiser,GER,"DF,FW",29-313,1994,19.3,1242,41,324,578,358,51,1242,65,32,49.2,28,43.1,657,3461,1840,53,32,6,40,22,765,112
GER-Bundesliga,2324,Werder Bremen,Naby Keïta,GUI,MF,29-018,1995,0.9,53,1,10,37,7,1,53,3,3,100.0,0,0.0,35,221,138,1,1,0,3,1,39,2
GER-Bundesliga,2324,Werder Bremen,Nick Woltemade,GER,"FW,MF",22-014,2002,5.5,279,8,34,129,122,25,279,26,16,61.5,8,30.8,189,944,332,11,8,5,26,36,217,44
GER-Bundesliga,2324,Werder Bremen,Niclas Füllkrug,GER,FW,31-019,1993,2.0,85,2,7,44,34,5,85,1,0,0.0,1,100.0,45,154,71,2,1,0,4,1,70,12
GER-Bundesliga,2324,Werder Bremen,Nicolai Rapp,GER,DF,27-077,1996,0.8,56,7,31,24,1,0,56,0,0,,0,,29,144,64,1,0,0,1,1,24,0
GER-Bundesliga,2324,Werder Bremen,Niklas Stark,GER,DF,28-320,1995,10.8,661,90,398,256,9,3,661,1,1,100.0,0,0.0,337,1772,985,5,3,0,4,1,379,1
GER-Bundesliga,2324,Werder Bremen,Oliver Burke,SCO,FW,26-327,1997,0.4,13,0,1,10,2,0,13,1,1,100.0,0,0.0,7,51,24,2,1,0,0,0,6,1
GER-Bundesliga,2324,Werder Bremen,Olivier Deman,BEL,DF,23-328,2000,12.5,720,47,245,328,157,24,720,12,8,66.7,3,25.0,351,1583,819,20,11,6,17,6,399,45
GER-Bundesliga,2324,Werder Bremen,Rafael Borré,COL,FW,28-166,1995,11.0,422,11,40,206,183,40,422,22,7,31.8,14,63.6,244,1319,487,16,14,5,30,16,304,73
GER-Bundesliga,2324,Werder Bremen,Romano Schmid,AUT,MF,24-032,2000,19.0,1071,20,165,568,361,40,1071,70,26,37.1,35,50.0,688,3639,1854,50,44,13,49,38,754,105
GER-Bundesliga,2324,Werder Bremen,Senne Lynen,BEL,MF,25-009,1999,10.8,608,39,220,334,63,5,608,12,5,41.7,6,50.0,292,1074,375,6,5,1,13,2,313,14
GER-Bundesliga,2324,Werder Bremen,Skelly Alvero,FRA,MF,21-300,2002,0.1,15,1,5,8,2,0,15,0,0,,0,,6,19,5,0,0,0,0,0,5,1
GER-Bundesliga,2324,Wolfsburg,Amin Sarr,SWE,"FW,MF",22-354,2001,1.2,37,1,6,19,12,2,37,3,1,33.3,1,33.3,25,93,54,1,1,0,4,1,29,7
GER-Bundesliga,2324,Wolfsburg,Aster Vranckx,BEL,MF,21-147,2002,9.5,564,37,152,327,90,4,564,23,16,69.6,6,26.1,288,1272,397,3,4,1,11,9,358,6
GER-Bundesliga,2324,Wolfsburg,Cedric Zesiger,SUI,DF,25-249,1998,10.9,852,83,405,427,25,7,852,4,3,75.0,0,0.0,499,2660,1511,10,7,0,0,2,574,0
GER-Bundesliga,2324,Wolfsburg,Dženan Pejčinović,GER,FW,19-013,2005,0.3,14,0,0,6,8,4,14,0,0,,0,,6,20,18,1,0,0,0,0,9,2
GER-Bundesliga,2324,Wolfsburg,Jakub Kamiński,POL,"FW,MF",21-268,2002,3.3,139,4,27,53,60,12,139,9,1,11.1,8,88.9,82,498,239,8,3,5,3,9,99,31
GER-Bundesliga,2324,Wolfsburg,Joakim Mæhle,DEN,DF,26-284,1997,20.5,1404,66,405,622,388,42,1404,48,18,37.5,24,50.0,708,4057,2201,61,41,7,23,12,781,103
GER-Bundesliga,2324,Wolfsburg,Jonas Wind,DEN,FW,25-021,1999,22.4,691,21,53,329,311,82,690,25,12,48.0,12,48.0,351,1233,362,9,12,3,49,20,519,91
GER-Bundesliga,2324,Wolfsburg,Kevin Behrens,GER,FW,33-025,1991,3.6,126,3,5,59,62,16,126,3,0,0.0,3,100.0,56,185,80,4,1,1,7,6,90,18
GER-Bundesliga,2324,Wolfsburg,Kevin Paredes,USA,"FW,MF",20-297,2003,9.0,431,9,79,164,192,23,431,27,9,33.3,12,44.4,244,1259,565,18,13,5,22,14,278,76
GER-Bundesliga,2324,Wolfsburg,Kilian Fischer,GER,DF,23-139,2000,0.1,5,0,1,2,2,0,5,0,0,,0,,3,4,1,0,0,0,0,0,2,0
GER-Bundesliga,2324,Wolfsburg,Koen Casteels,BEL,GK,31-248,1992,19.0,758,595,751,7,0,0,758,0,0,,0,,453,2347,1447,0,0,0,1,0,391,0
GER-Bundesliga,2324,Wolfsburg,Kofi Amoako,GER,MF,18-298,2005,0.0,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,1,0
GER-Bundesliga,2324,Wolfsburg,Lovro Majer,CRO,"MF,FW",26-042,1998,17.7,913,12,111,423,393,49,911,37,18,48.6,14,37.8,549,3234,1314,41,23,7,48,22,654,110
GER-Bundesliga,2324,Wolfsburg,Lukas Nmecha,GER,FW,25-076,1998,0.4,16,0,0,6,10,5,16,0,0,,0,,8,30,4,0,1,0,3,1,11,4
GER-Bundesliga,2324,Wolfsburg,Mattias Svanberg,SWE,MF,25-054,1999,16.5,871,28,175,469,240,28,871,25,13,52.0,11,44.0,409,1928,1044,23,14,7,29,9,531,41
GER-Bundesliga,2324,Wolfsburg,Maxence Lacroix,FRA,DF,23-328,2000,17.4,1239,128,635,583,30,10,1239,9,5,55.6,4,44.4,665,3096,1575,2,3,0,15,0,790,3
GER-Bundesliga,2324,Wolfsburg,Maximilian Arnold,GER,MF,29-277,1994,16.9,1091,50,260,655,184,4,1091,7,3,42.9,3,42.9,554,2536,1162,14,7,0,12,6,679,11
GER-Bundesliga,2324,Wolfsburg,Moritz Jenz,GER,DF,24-304,1999,15.0,928,135,523,398,13,6,928,0,0,,0,,524,2708,1502,1,2,0,6,2,573,3
GER-Bundesliga,2324,Wolfsburg,Nicolas Cozza,FRA,DF,25-051,1999,3.1,225,6,75,125,25,1,225,7,4,57.1,3,42.9,116,520,266,5,1,0,8,0,141,8
GER-Bundesliga,2324,Wolfsburg,Patrick Wimmer,AUT,FW,22-274,2001,3.3,147,1,30,66,53,9,147,8,4,50.0,4,50.0,73,431,186,3,1,2,11,2,85,16
GER-Bundesliga,2324,Wolfsburg,Pavao Pervan,AUT,GK,36-107,1987,4.0,150,130,150,0,0,0,150,0,0,,0,,75,393,218,0,0,0,0,0,80,0
GER-Bundesliga,2324,Wolfsburg,Ridle Baku,GER,"DF,MF",25-326,1998,13.1,861,40,220,379,271,29,861,22,9,40.9,9,40.9,431,2073,1006,18,16,4,29,11,485,81
GER-Bundesliga,2324,Wolfsburg,Rogério,BRA,DF,26-046,1998,10.0,653,25,166,335,161,10,653,18,4,22.2,13,72.2,361,2067,1005,26,15,4,12,8,366,40
GER-Bundesliga,2324,Wolfsburg,Sebastiaan Bornauw,BEL,DF,24-343,1999,8.2,526,72,259,252,16,10,526,5,4,80.0,1,20.0,274,1129,489,2,4,0,5,1,330,1
GER-Bundesliga,2324,Wolfsburg,Tiago Tomás,POR,"FW,MF",21-257,2002,7.4,304,5,40,113,154,39,304,40,16,40.0,19,47.5,189,1098,437,18,11,13,33,14,227,84
GER-Bundesliga,2324,Wolfsburg,Václav Černý,CZE,"FW,MF",26-134,1997,9.1,403,6,56,153,198,32,403,27,12,44.4,15,55.6,229,1345,657,20,14,7,20,14,282,71
GER-Bundesliga,2324,Wolfsburg,Yannick Gerhardt,GER,MF,29-352,1994,10.4,456,16,95,245,118,32,456,2,0,0.0,1,50.0,231,1030,493,12,8,4,11,8,291,41
ITA-Serie A,2324,Atalanta,Ademola Lookman,NGA,"FW,MF",26-131,1997,12.8,643,2,35,266,347,75,643,49,22,44.9,19,38.8,445,2592,1242,40,28,17,46,23,523,136
ITA-Serie A,2324,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",28-134,1995,7.9,463,4,45,190,233,27,463,30,8,26.7,19,63.3,289,1745,770,22,16,4,25,12,341,75
ITA-Serie A,2324,Atalanta,Berat Djimsiti,ALB,DF,31-009,1993,23.0,1397,174,800,559,46,17,1397,1,1,100.0,0,0.0,705,3503,1279,1,3,0,6,1,824,5
ITA-Serie A,2324,Atalanta,Charles De Ketelaere,BEL,"FW,MF",22-355,2001,14.9,719,6,41,281,408,89,718,60,28,46.7,24,40.0,441,2757,1352,55,28,23,52,36,547,149
ITA-Serie A,2324,Atalanta,Davide Zappacosta,ITA,"DF,MF",31-262,1992,13.1,789,21,177,318,304,37,789,22,8,36.4,12,54.5,462,2696,1403,49,21,11,19,9,533,90
ITA-Serie A,2324,Atalanta,Duván Zapata,COL,FW,32-333,1991,1.2,65,1,3,27,35,10,65,3,2,66.7,1,33.3,47,206,70,3,1,2,5,0,50,13
ITA-Serie A,2324,Atalanta,El Bilal Touré,MLI,FW,22-148,2001,0.5,18,0,2,5,11,6,18,2,0,0.0,2,100.0,12,94,47,1,2,1,2,2,18,2
ITA-Serie A,2324,Atalanta,Emil Holm,SWE,DF,23-291,2000,7.4,459,25,115,182,167,34,459,24,14,58.3,10,41.7,203,1440,634,20,17,5,28,13,255,53
ITA-Serie A,2324,Atalanta,Gianluca Scamacca,ITA,FW,25-058,1999,9.9,398,10,28,177,195,61,398,23,14,60.9,6,26.1,277,1345,403,15,10,4,45,32,336,98
ITA-Serie A,2324,Atalanta,Giorgio Scalvini,ITA,DF,20-079,2003,20.8,1381,100,634,623,138,34,1381,14,11,78.6,3,21.4,703,3204,1759,21,13,4,14,7,830,16
ITA-Serie A,2324,Atalanta,Giovanni Bonfanti,ITA,DF,21-042,2003,0.2,6,0,4,2,0,0,6,0,0,,0,,2,6,0,0,0,0,1,0,2,0
ITA-Serie A,2324,Atalanta,Hans Hateboer,NED,DF,30-050,1994,5.3,309,13,84,126,100,9,309,3,3,100.0,0,0.0,176,799,451,13,9,2,5,4,202,28
ITA-Serie A,2324,Atalanta,Isak Hien,SWE,DF,25-046,1999,0.7,32,6,21,11,0,0,32,0,0,,0,,7,12,0,0,0,0,0,0,16,0
ITA-Serie A,2324,Atalanta,José Luis Palomino,ARG,DF,34-054,1990,0.3,43,6,29,14,0,0,43,0,0,,0,,21,88,51,0,0,0,0,0,22,0
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29-298,1994,10.0,366,302,362,5,0,0,366,0,0,,0,,236,1322,864,0,0,0,2,0,181,0
ITA-Serie A,2324,Atalanta,Leonardo Mendicino,ITA,MF,17-248,2006,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
ITA-Serie A,2324,Atalanta,Luis Muriel,COL,"FW,MF",32-318,1991,4.5,313,1,6,129,180,25,313,22,7,31.8,9,40.9,203,1292,645,19,16,5,14,18,254,57
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23-242,2000,15.0,553,510,553,0,0,0,553,0,0,,0,,288,1395,761,0,0,0,0,0,244,0
ITA-Serie A,2324,Atalanta,Mario Pašalić,CRO,"MF,FW",29-019,1995,11.9,634,31,151,330,159,34,634,9,6,66.7,3,33.3,338,2057,934,28,15,2,23,9,451,49
ITA-Serie A,2324,Atalanta,Marten de Roon,NED,"MF,DF",32-336,1991,23.0,1521,81,467,837,225,1,1521,9,3,33.3,5,55.6,830,4122,2087,22,18,0,16,8,1001,16
ITA-Serie A,2324,Atalanta,Matteo Ruggeri,ITA,DF,21-232,2002,20.3,1325,43,361,582,389,19,1325,25,12,48.0,10,40.0,667,3155,1567,41,30,4,19,8,839,99
ITA-Serie A,2324,Atalanta,Michel Ndary Adopo,FRA,"MF,DF",23-224,2000,0.6,60,3,11,33,17,3,60,1,1,100.0,0,0.0,33,204,87,2,1,1,3,1,44,10
ITA-Serie A,2324,Atalanta,Mitchel Bakker,NED,DF,23-253,2000,2.7,167,3,43,76,52,6,167,8,6,75.0,1,12.5,93,571,296,9,5,2,8,3,100,12
ITA-Serie A,2324,Atalanta,Nadir Zortea,ITA,DF,24-254,1999,1.7,119,1,20,51,50,5,119,14,5,35.7,7,50.0,73,448,246,7,9,1,2,2,81,22
ITA-Serie A,2324,Atalanta,Rafael Tolói,ITA,DF,33-141,1990,5.0,320,28,130,148,43,4,320,2,1,50.0,1,50.0,196,689,347,5,7,0,4,1,198,2
ITA-Serie A,2324,Atalanta,Sead Kolašinac,BIH,DF,30-253,1993,19.1,1147,63,501,530,127,18,1147,4,3,75.0,0,0.0,602,2637,1410,18,19,2,10,5,728,21
ITA-Serie A,2324,Atalanta,Teun Koopmeiners,NED,MF,26-000,1998,20.6,1219,43,190,596,445,61,1217,36,16,44.4,18,50.0,688,3770,1985,54,36,12,44,32,845,134
ITA-Serie A,2324,Atalanta,Éderson,BRA,MF,24-236,1999,22.5,1385,53,356,764,284,31,1385,30,18,60.0,10,33.3,843,3866,1754,24,20,5,27,27,922,38
ITA-Serie A,2324,Bologna,Alexis Saelemaekers,BEL,"FW,MF",24-246,1999,12.9,797,5,120,353,334,27,797,69,27,39.1,38,55.1,520,3231,1506,43,34,11,36,12,596,112
ITA-Serie A,2324,Bologna,Charalambos Lykogiannis,GRE,DF,30-129,1993,7.9,490,26,142,225,125,6,490,6,2,33.3,4,66.7,253,1481,785,26,13,1,5,4,315,31
ITA-Serie A,2324,Bologna,Dan Ndoye,SUI,"FW,MF",23-126,2000,12.9,584,16,86,243,274,49,584,69,23,33.3,34,49.3,403,3600,2044,67,40,22,35,15,427,107
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,24-109,1999,3.0,121,109,118,3,0,0,121,1,1,100.0,0,0.0,81,337,168,0,0,0,1,0,73,0
ITA-Serie A,2324,Bologna,Giovanni Fabbian,ITA,"MF,FW",21-045,2003,8.7,313,5,57,143,115,39,313,18,8,44.4,10,55.6,152,884,391,10,6,4,20,7,212,35
ITA-Serie A,2324,Bologna,Jens Odgaard,DEN,FW,24-334,1999,0.4,15,1,1,8,6,2,15,0,0,,0,,9,38,22,1,0,1,4,0,10,1
ITA-Serie A,2324,Bologna,Jesper Karlsson,SWE,FW,25-218,1998,3.6,171,3,19,61,94,11,171,11,5,45.5,3,27.3,109,690,331,12,7,6,4,6,119,34
ITA-Serie A,2324,Bologna,Jhon Lucumí,COL,DF,25-247,1998,13.1,1099,129,512,569,27,4,1099,4,2,50.0,2,50.0,721,4359,2609,17,8,0,5,2,813,2
ITA-Serie A,2324,Bologna,Joshua Zirkzee,NED,FW,22-282,2001,23.3,1059,40,112,495,469,107,1058,95,37,38.9,55,57.9,610,3084,1297,35,34,11,88,48,776,138
ITA-Serie A,2324,Bologna,Kacper Urbanski,POL,"FW,MF",19-174,2004,5.3,242,5,28,118,102,13,242,25,15,60.0,9,36.0,144,1029,453,15,7,3,8,2,167,54
ITA-Serie A,2324,Bologna,Kevin Bonifazi,ITA,DF,27-285,1996,1.0,95,21,62,34,0,0,95,1,0,0.0,1,100.0,72,273,120,0,0,0,2,0,76,1
ITA-Serie A,2324,Bologna,Lewis Ferguson,SCO,MF,24-188,1999,24.8,1623,44,254,943,437,67,1623,28,12,42.9,11,39.3,956,4368,1940,42,28,9,17,14,1310,101
ITA-Serie A,2324,Bologna,Lorenzo De Silvestri,ITA,DF,35-281,1988,6.3,403,25,167,183,57,2,403,0,0,,0,,201,1116,520,8,3,0,4,1,257,8
ITA-Serie A,2324,Bologna,Michel Aebischer,SUI,MF,27-053,1997,16.2,1087,35,275,653,168,12,1087,15,9,60.0,5,33.3,666,2918,1428,17,12,2,19,8,838,31
ITA-Serie A,2324,Bologna,Nicolás Domínguez,ARG,MF,25-245,1998,1.1,103,2,23,69,12,0,103,0,0,,0,,39,210,116,1,2,0,1,3,79,3
ITA-Serie A,2324,Bologna,Nikola Moro,CRO,MF,25-353,1998,7.7,526,14,99,315,117,9,526,10,5,50.0,5,50.0,307,1594,688,15,15,2,7,7,394,36
ITA-Serie A,2324,Bologna,Oussama El Azzouzi,MAR,MF,22-275,2001,3.4,275,14,76,169,31,4,275,3,0,0.0,3,100.0,168,715,307,3,2,0,3,3,200,6
ITA-Serie A,2324,Bologna,Remo Freuler,SUI,MF,31-319,1992,18.6,1322,55,352,774,203,21,1322,9,7,77.8,2,22.2,684,3128,1390,16,12,2,18,8,933,32
ITA-Serie A,2324,Bologna,Riccardo Calafiori,ITA,DF,21-285,2002,18.4,1436,169,673,684,96,11,1436,14,8,57.1,5,35.7,889,4763,2695,18,15,1,19,9,950,9
ITA-Serie A,2324,Bologna,Riccardo Orsolini,ITA,"FW,MF",27-035,1997,14.3,716,20,133,263,329,54,713,57,24,42.1,30,52.6,433,2496,1369,42,28,18,32,14,510,121
ITA-Serie A,2324,Bologna,Sam Beukema,NED,DF,25-103,1998,21.6,1692,231,907,757,33,9,1692,7,3,42.9,2,28.6,1077,6140,2930,11,6,1,3,3,1233,4
ITA-Serie A,2324,Bologna,Stefan Posch,AUT,DF,26-290,1997,17.7,1625,83,587,809,237,21,1625,12,5,41.7,7,58.3,964,4674,2150,28,23,2,25,11,1121,37
ITA-Serie A,2324,Bologna,Sydney van Hooijdonk,NED,FW,24-022,2000,2.4,56,5,9,26,21,7,56,2,2,100.0,0,0.0,22,140,15,1,0,0,4,3,35,9
ITA-Serie A,2324,Bologna,Tommaso Corazza,ITA,DF,19-244,2004,1.6,119,4,42,44,36,5,119,3,0,0.0,2,66.7,67,401,255,7,4,1,1,1,72,8
ITA-Serie A,2324,Bologna,Victor Bernth Kristiansen,DEN,DF,21-074,2002,16.7,1209,49,428,580,211,12,1209,17,8,47.1,5,29.4,697,3266,1411,13,5,2,10,6,812,49
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32-299,1991,23.0,804,748,800,4,0,0,804,0,0,,0,,453,2297,1387,0,0,0,0,0,411,0
ITA-Serie A,2324,Cagliari,Adam Obert,SVK,DF,21-189,2002,6.4,391,38,175,187,30,2,391,3,1,33.3,1,33.3,198,1023,619,9,3,1,3,2,223,3
ITA-Serie A,2324,Cagliari,Alberto Dossena,ITA,DF,25-138,1998,24.2,1284,213,712,542,40,26,1284,5,3,60.0,2,40.0,582,2688,1473,4,4,0,14,9,633,2
ITA-Serie A,2324,Cagliari,Alessandro Deiola,ITA,MF,28-211,1995,8.5,337,15,71,183,84,13,337,2,1,50.0,1,50.0,142,684,291,6,3,0,5,10,199,13
ITA-Serie A,2324,Cagliari,Alessandro Di Pardo,ITA,"DF,MF",24-225,1999,2.6,151,10,43,55,54,2,151,4,0,0.0,4,100.0,77,380,170,4,1,0,1,4,70,14
ITA-Serie A,2324,Cagliari,Andrea Petagna,ITA,FW,28-243,1995,11.1,328,8,26,153,153,39,328,17,11,64.7,4,23.5,180,923,264,11,8,3,31,23,256,56
ITA-Serie A,2324,Cagliari,Antoine Makoumbou,CGO,MF,25-225,1998,22.7,1132,46,256,686,201,9,1132,29,19,65.5,5,17.2,707,3777,1589,28,21,1,26,21,792,42
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27-278,1996,7.0,238,202,237,1,0,0,238,0,0,,0,,113,608,366,0,0,0,1,0,86,0
ITA-Serie A,2324,Cagliari,Edoardo Goldaniga,ITA,DF,30-118,1993,11.2,648,70,314,293,44,5,648,0,0,,0,,318,1757,1217,9,6,0,7,0,386,3
ITA-Serie A,2324,Cagliari,Eldor Shomurodov,UZB,"FW,MF",28-244,1995,3.5,134,0,10,57,70,15,134,10,3,30.0,7,70.0,82,492,163,6,7,3,16,4,103,22
ITA-Serie A,2324,Cagliari,Gabriele Zappa,ITA,DF,24-068,1999,20.4,1216,54,401,545,278,24,1216,18,5,27.8,11,61.1,625,2903,1529,25,20,1,21,7,716,60
ITA-Serie A,2324,Cagliari,Gaetano Oristanio,ITA,"FW,MF",21-153,2002,9.6,325,6,38,139,157,34,325,50,25,50.0,20,40.0,203,1700,697,22,18,9,31,28,205,56
ITA-Serie A,2324,Cagliari,Gianluca Gaetano,ITA,"FW,MF",23-299,2000,3.0,128,3,6,62,63,6,128,10,6,60.0,3,30.0,78,497,238,9,8,2,3,6,86,19
ITA-Serie A,2324,Cagliari,Gianluca Lapadula,PER,FW,34-021,1990,6.4,135,5,14,52,70,33,135,2,1,50.0,1,50.0,70,281,87,3,3,4,8,4,94,30
ITA-Serie A,2324,Cagliari,Ibrahim Sulemana,GHA,MF,20-282,2003,9.5,411,20,114,226,78,5,411,11,5,45.5,5,45.5,207,1112,374,10,6,1,12,8,223,11
ITA-Serie A,2324,Cagliari,Jakub Jankto,CZE,"MF,FW",28-040,1996,7.3,263,15,62,102,101,18,263,1,0,0.0,1,100.0,135,637,293,10,9,2,9,2,150,42
ITA-Serie A,2324,Cagliari,Leonardo Pavoletti,ITA,FW,35-094,1988,7.0,232,8,16,105,111,42,232,0,0,,0,,103,182,59,1,0,1,25,5,186,40
ITA-Serie A,2324,Cagliari,Marco Mancosu,ITA,"MF,FW",35-190,1988,1.7,81,0,8,43,30,4,80,6,3,50.0,3,50.0,50,219,99,4,2,0,3,3,56,11
ITA-Serie A,2324,Cagliari,Mateusz Wieteska,POL,DF,27-017,1997,7.7,423,59,235,172,19,5,423,3,1,33.3,2,66.7,229,1174,720,8,1,0,4,2,259,1
ITA-Serie A,2324,Cagliari,Matteo Prati,ITA,MF,20-062,2003,16.7,733,24,161,451,130,18,733,7,3,42.9,4,57.1,328,1319,597,7,9,1,12,7,417,13
ITA-Serie A,2324,Cagliari,Nahitan Nández,URU,"MF,DF",28-062,1995,16.5,792,27,145,331,331,32,791,26,19,73.1,6,23.1,380,2245,1184,38,17,6,27,19,466,56
ITA-Serie A,2324,Cagliari,Nicolas Viola,ITA,"MF,FW",34-139,1989,10.9,589,6,65,263,270,23,588,29,13,44.8,13,44.8,307,1629,684,19,16,7,26,18,384,56
ITA-Serie A,2324,Cagliari,Pantelis Hatzidiakos,GRE,DF,27-041,1997,7.1,372,36,179,168,28,6,372,2,1,50.0,1,50.0,177,756,395,1,2,0,3,3,210,3
ITA-Serie A,2324,Cagliari,Paulo Azzi,BRA,"DF,MF",29-228,1994,9.3,558,24,147,228,192,15,558,22,9,40.9,9,40.9,266,1910,1203,40,35,3,12,5,300,39
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27-273,1996,19.0,637,545,635,2,0,0,637,0,0,,0,,275,1550,916,0,0,0,0,0,231,0
ITA-Serie A,2324,Cagliari,Tommaso Augello,ITA,DF,29-182,1994,16.8,1019,56,342,421,267,7,1019,19,9,47.4,8,42.1,501,2841,1572,46,29,0,13,5,548,73
ITA-Serie A,2324,Cagliari,Yerry Mina,COL,DF,29-158,1994,3.5,225,42,141,81,3,0,225,1,1,100.0,0,0.0,118,663,341,1,0,0,0,0,126,0
ITA-Serie A,2324,Cagliari,Zito Luvumbo,ANG,"FW,MF",21-356,2002,15.0,462,2,35,128,312,87,462,63,22,34.9,27,42.9,339,2489,1378,58,27,30,55,31,358,123
ITA-Serie A,2324,Empoli,Alberto Cerri,ITA,FW,27-318,1996,3.8,122,5,14,56,54,13,122,5,1,20.0,4,80.0,71,239,96,2,6,1,10,8,94,15
ITA-Serie A,2324,Empoli,Alberto Grassi,ITA,MF,28-358,1995,17.0,930,58,265,547,124,13,930,10,5,50.0,4,40.0,481,2215,841,13,13,0,12,7,549,12
ITA-Serie A,2324,Empoli,Andrea Sodero,ITA,MF,19-205,2004,0.1,1,0,0,0,1,0,1,0,0,,0,,1,4,3,0,0,0,0,0,1,1
ITA-Serie A,2324,Empoli,Ardian Ismajli,ALB,DF,27-151,1996,17.3,1014,156,596,388,33,14,1014,2,0,0.0,2,100.0,536,2463,1167,5,2,1,9,1,580,2
ITA-Serie A,2324,Empoli,Bartosz Bereszyński,POL,DF,31-231,1992,9.7,555,30,176,293,90,1,555,15,5,33.3,7,46.7,289,1433,705,9,5,1,10,5,309,15
ITA-Serie A,2324,Empoli,Daniel Maldini,ITA,"FW,MF",22-140,2001,2.9,135,1,10,66,63,8,135,17,7,41.2,10,58.8,68,456,197,7,7,2,11,5,87,10
ITA-Serie A,2324,Empoli,Elia Caprile,ITA,GK,22-187,2001,11.0,410,328,408,3,0,0,410,0,0,,0,,220,925,535,0,0,0,0,0,199,0
ITA-Serie A,2324,Empoli,Emmanuel Ekong,SWE,FW,21-248,2002,0.1,4,0,0,3,1,1,4,3,0,0.0,2,66.7,4,36,1,0,0,0,0,0,4,1
