,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22-332,2001,25.0,22,0.88,21,0,0,1,0,0,3,0.12,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"DF,FW",28-166,1995,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Boubacar Kamara,FRA,MF,24-088,1999,18.4,38,2.07,33,0,0,2,1,2,3,0.16,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Cameron Archer,ENG,MF,22-213,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28-247,1995,7.7,13,1.69,9,1,0,3,0,0,1,0.13,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30-341,1993,12.9,6,0.47,6,0,0,0,0,0,2,0.16,2,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25-286,1998,22.9,89,3.89,48,24,5,8,3,1,7,0.31,5,2,0,0,0,0
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,31-170,1992,24.0,3,0.12,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,26-119,1997,22.2,23,1.04,16,1,2,0,3,1,4,0.18,1,1,0,0,1,1
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,"MF,FW",22-267,2001,8.2,22,2.69,18,2,0,1,0,1,2,0.24,1,1,0,0,0,0
ENG-Premier League,2324,Aston Villa,Jaden Philogene Bidace,ENG,FW,22-011,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Jhon Durán,COL,"FW,MF",20-068,2003,2.1,7,3.41,3,0,1,1,1,1,3,1.46,0,0,1,0,1,1
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,"MF,FW",29-124,1994,23.7,85,3.59,71,8,5,1,0,0,12,0.51,9,1,2,0,0,0
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28-310,1995,1.3,2,1.51,1,0,0,0,1,0,1,0.76,0,0,0,0,1,0
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,"MF,FW",26-194,1997,13.0,63,4.86,46,4,6,6,1,0,7,0.54,5,0,0,2,0,0
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30-214,1993,17.1,54,3.17,37,12,0,3,2,0,3,0.18,3,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,DF,26-196,1997,17.6,32,1.82,24,1,0,6,1,0,4,0.23,3,0,0,0,1,0
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,MF,21-208,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"FW,MF",24-227,1999,16.4,53,3.22,43,1,3,4,2,0,5,0.3,5,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24-232,1999,6.0,22,3.69,14,0,2,4,1,1,2,0.34,2,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,28-051,1995,24.5,74,3.02,52,0,6,12,4,0,19,0.78,12,0,1,4,2,0
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,27-034,1997,17.9,19,1.06,18,1,0,0,0,0,1,0.06,1,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31-252,1992,0.3,2,7.2,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,34-042,1990,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20-234,2003,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30-343,1993,0.3,2,6.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26-288,1997,9.3,29,3.11,24,0,1,2,2,0,10,1.07,9,0,0,1,0,0
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30-256,1993,7.8,19,2.43,17,0,1,1,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32-296,1991,12.2,15,1.23,10,4,0,0,1,0,3,0.25,3,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,20-182,2003,6.2,24,3.84,16,3,1,2,1,1,3,0.48,2,0,1,0,0,0
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,FW,24-043,2000,11.8,30,2.54,19,0,6,3,1,1,5,0.42,2,0,0,1,1,1
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,26-106,1997,3.0,4,1.34,2,0,0,0,0,2,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-008,2002,5.7,19,3.34,14,0,2,1,1,1,1,0.18,1,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,"FW,MF",26-226,1997,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,26-158,1997,23.7,39,1.64,31,0,3,2,0,3,4,0.17,3,0,1,0,0,0
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,"MF,FW",26-285,1997,0.3,3,11.74,0,0,0,2,1,0,0,0.0,0,0,0,0,0,0
