,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Bournemouth,Joe Rothwell,ENG,MF,29-039,1995,4.3,179,216,82.9,3185,863,65,68,95.6,100,108,92.6,10,30,33.3,0,0.2,0.2,-0.2,4,20,1,0,20
ENG-Premier League,2324,Bournemouth,Justin Kluivert,NED,"MF,FW",24-290,1999,11.4,157,237,66.2,2368,686,77,104,74.0,58,77,75.3,9,18,50.0,0,1.3,1.0,-1.3,15,9,10,1,28
ENG-Premier League,2324,Bournemouth,Kieffer Moore,WAL,"FW,MF",31-195,1992,1.2,28,42,66.7,272,91,22,29,75.9,4,8,50.0,0,0,,0,0.2,0.3,-0.2,2,2,2,0,4
ENG-Premier League,2324,Bournemouth,Lewis Cook,ENG,MF,27-016,1997,17.0,642,823,78.0,11059,3640,273,316,86.4,296,333,88.9,53,124,42.7,1,2.0,1.9,-1.0,23,75,12,1,78
ENG-Premier League,2324,Bournemouth,Lloyd Kelly,ENG,DF,25-136,1998,11.2,450,608,74.0,8772,2793,162,196,82.7,223,265,84.2,57,121,47.1,0,0.2,0.2,-0.2,5,50,4,1,37
ENG-Premier League,2324,Bournemouth,Luis Sinisterra,COL,"FW,MF",24-247,1999,6.5,180,231,77.9,2567,699,114,131,87.0,47,53,88.7,9,16,56.3,2,2.1,0.9,-0.1,14,9,14,1,31
ENG-Premier League,2324,Bournemouth,Marcos Senesi,ARG,DF,26-285,1997,17.4,769,976,78.8,16532,6847,230,253,90.9,402,449,89.5,132,239,55.2,2,0.8,2.0,1.2,12,110,19,7,85
ENG-Premier League,2324,Bournemouth,Marcus Tavernier,ENG,FW,24-334,1999,17.2,467,658,71.0,7531,2305,247,285,86.7,163,207,78.7,42,107,39.3,4,4.6,3.3,-0.6,34,31,23,6,55
ENG-Premier League,2324,Bournemouth,Max Aarons,ENG,DF,24-046,2000,12.1,379,501,75.6,6256,2424,186,213,87.3,156,202,77.2,31,56,55.4,1,0.8,0.9,0.2,7,22,12,2,40
ENG-Premier League,2324,Bournemouth,Milos Kerkez,HUN,DF,20-104,2003,13.6,385,538,71.6,6171,2072,196,235,83.4,155,216,71.8,28,60,46.7,1,0.3,0.5,0.7,5,20,11,6,25
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34-215,1989,22.0,481,740,65.0,13631,9925,76,78,97.4,254,263,96.6,150,392,38.3,0,0.0,0.0,0.0,0,14,0,0,0
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27-253,1996,13.4,332,432,76.9,4854,1364,196,234,83.8,93,115,80.9,25,42,59.5,2,2.5,1.8,-0.5,18,26,14,4,41
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"DF,MF",25-220,1998,0.1,8,11,72.7,107,53,4,6,66.7,4,4,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,28-362,1995,21.1,623,823,75.7,11607,3012,258,298,86.6,269,333,80.8,83,148,56.1,2,3.6,3.5,-1.6,27,74,21,4,94
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21-254,2002,7.9,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70.0,0,0.1,0.1,-0.1,1,10,2,0,21
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,34-151,1989,12.5,448,586,76.5,7954,3205,189,215,87.9,210,255,82.4,42,91,46.2,0,0.3,0.7,-0.3,6,42,4,2,42
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,24-196,1999,14.3,366,528,69.3,5638,1819,213,258,82.6,105,156,67.3,35,66,53.0,3,2.7,3.8,0.3,22,19,27,2,65
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29-346,1994,20.8,865,1106,78.2,14064,4540,458,523,87.6,332,414,80.2,61,118,51.7,1,1.7,2.0,-0.7,20,82,21,2,121
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30-266,1993,23.0,1006,1207,83.3,19079,6392,331,388,85.3,569,619,91.9,85,154,55.2,0,1.0,0.7,-1.0,4,69,4,0,54
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,26-049,1998,8.6,229,301,76.1,3579,896,124,140,88.6,86,119,72.3,14,25,56.0,1,1.6,1.3,-0.6,8,17,8,3,26
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27-340,1996,5.0,66,121,54.5,921,347,38,64,59.4,13,24,54.2,7,9,77.8,0,0.2,0.6,-0.2,2,5,7,4,10
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",25-119,1998,0.3,10,19,52.6,153,59,5,7,71.4,5,7,71.4,0,2,0.0,0,0.2,0.2,-0.2,1,0,0,0,2
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",22-362,2001,9.0,148,216,68.5,2236,523,83,110,75.5,48,66,72.7,12,27,44.4,0,0.8,0.9,-0.8,6,8,9,2,19
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",22-084,2001,2.9,43,71,60.6,624,171,27,36,75.0,15,25,60.0,1,2,50.0,0,0.4,0.4,-0.4,3,7,3,2,9
