,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Mainz 05,Maxim Leitsch,GER,DF,25-277,1998,4.2,133,171,77.8,2803,1006,35,51,68.6,79,92,85.9,17,24,70.8,0,0.0,0.1,0.0,0,7,1,0,7
GER-Bundesliga,2324,Mainz 05,Nadiem Amiri,GER,MF,27-115,1996,3.7,140,204,68.6,2902,1324,57,67,85.1,42,57,73.7,34,65,52.3,2,1.2,1.8,0.8,17,13,7,2,23
GER-Bundesliga,2324,Mainz 05,Nelson Weiper,GER,"FW,MF",18-339,2005,1.2,21,34,61.8,248,37,12,15,80.0,5,10,50.0,0,0,,0,0.2,0.1,-0.2,2,2,1,0,2
GER-Bundesliga,2324,Mainz 05,Phillipp Mwene,AUT,DF,30-021,1994,12.3,425,630,67.5,7290,2914,206,256,80.5,164,234,70.1,45,105,42.9,2,1.6,1.9,0.4,17,31,22,10,45
GER-Bundesliga,2324,Mainz 05,Robin Zentner,GER,GK,29-114,1994,18.0,425,622,68.3,12564,9276,78,79,98.7,175,179,97.8,170,356,47.8,0,0.0,0.1,0.0,1,11,0,0,1
GER-Bundesliga,2324,Mainz 05,Sepp van den Berg,NED,DF,22-061,2001,19.5,831,1020,81.5,15321,4975,288,332,86.7,458,536,85.4,72,120,60.0,0,0.0,0.2,0.0,2,64,2,0,69
GER-Bundesliga,2324,Mainz 05,Silvan Widmer,SUI,"DF,FW",30-351,1993,7.4,301,421,71.5,5001,2031,151,179,84.4,116,161,72.0,25,54,46.3,0,1.5,0.9,-1.5,8,33,6,3,31
GER-Bundesliga,2324,Mainz 05,Stefan Bell,GER,DF,32-179,1991,7.4,297,370,80.3,5526,2509,122,137,89.1,141,163,86.5,31,60,51.7,0,0.1,0.3,-0.1,1,16,3,1,23
GER-Bundesliga,2324,Mainz 05,Tom Krauß,GER,MF,22-242,2001,12.8,392,534,73.4,6273,2004,201,243,82.7,162,197,82.2,23,53,43.4,0,0.1,0.6,-0.1,4,35,6,1,53
GER-Bundesliga,2324,RB Leipzig,Amadou Haidara,MLI,MF,26-019,1998,7.8,367,434,84.6,6095,2264,176,201,87.6,156,174,89.7,26,36,72.2,0,0.9,1.0,-0.9,10,50,13,0,59
GER-Bundesliga,2324,RB Leipzig,Benjamin Henrichs,GER,DF,26-361,1997,18.3,877,1121,78.2,14475,5613,442,499,88.6,357,448,79.7,63,118,53.4,3,3.1,3.6,-0.1,29,56,32,6,89
GER-Bundesliga,2324,RB Leipzig,Benjamin Šeško,SVN,FW,20-264,2003,8.5,122,186,65.6,1430,300,79,105,75.2,28,40,70.0,3,7,42.9,0,0.4,0.3,-0.4,5,3,4,0,12
GER-Bundesliga,2324,RB Leipzig,Castello Lukeba,FRA,DF,21-064,2002,13.4,925,1020,90.7,16529,5685,342,367,93.2,522,546,95.6,56,94,59.6,0,0.1,0.4,-0.1,3,68,3,1,63
GER-Bundesliga,2324,RB Leipzig,Christoph Baumgartner,AUT,MF,24-202,1999,8.8,242,323,74.9,3414,991,130,161,80.7,86,102,84.3,11,20,55.0,1,1.1,1.1,-0.1,13,27,9,1,38
GER-Bundesliga,2324,RB Leipzig,Christopher Lenz,GER,"DF,MF",29-150,1994,0.4,34,40,85.0,544,205,13,14,92.9,19,19,100.0,0,3,0.0,0,0.1,0.1,-0.1,1,3,0,0,2
GER-Bundesliga,2324,RB Leipzig,Dani Olmo,ESP,"MF,FW",25-288,1998,7.5,246,318,77.4,4191,1051,126,150,84.0,86,101,85.1,27,40,67.5,3,2.9,2.5,0.1,13,32,12,5,30
GER-Bundesliga,2324,RB Leipzig,David Raum,GER,DF,25-303,1998,21.4,1128,1562,72.2,19714,7061,517,577,89.6,480,633,75.8,109,267,40.8,6,5.0,7.1,1.0,47,69,41,20,92
GER-Bundesliga,2324,RB Leipzig,El Chadaille Bitshiabu,FRA,DF,18-279,2005,0.1,9,11,81.8,173,54,2,3,66.7,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,RB Leipzig,Elif Elmas,MKD,"MF,DF",24-148,1999,0.7,29,31,93.5,411,103,17,18,94.4,10,10,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,1,0,2
GER-Bundesliga,2324,RB Leipzig,Emil Forsberg,SWE,"MF,FW",32-119,1991,5.2,163,199,81.9,2572,551,95,107,88.8,54,60,90.0,12,17,70.6,1,0.9,0.4,0.1,6,14,3,0,22
GER-Bundesliga,2324,RB Leipzig,Fabio Carvalho,POR,MF,21-173,2002,1.8,72,92,78.3,855,219,54,60,90.0,14,21,66.7,2,5,40.0,0,0.2,0.2,-0.2,2,6,6,1,9
GER-Bundesliga,2324,RB Leipzig,Janis Blaswich,GER,GK,32-293,1991,19.0,765,883,86.6,17617,9426,166,169,98.2,446,450,99.1,152,261,58.2,0,0.1,0.1,-0.1,1,10,0,0,3
GER-Bundesliga,2324,RB Leipzig,Kevin Kampl,SVN,MF,33-133,1990,12.6,769,843,91.2,12848,2979,343,364,94.2,358,383,93.5,49,62,79.0,0,0.9,1.0,-0.9,11,50,11,2,76
GER-Bundesliga,2324,RB Leipzig,Loïs Openda,BEL,FW,24-003,2000,19.8,215,331,65.0,2820,690,134,184,72.8,54,79,68.4,8,17,47.1,4,3.4,3.1,0.6,22,12,15,4,31
GER-Bundesliga,2324,RB Leipzig,Lukas Klostermann,GER,DF,27-261,1996,13.9,954,1050,90.9,17854,5798,297,321,92.5,579,608,95.2,70,98,71.4,0,0.4,0.9,-0.4,5,75,7,0,83
GER-Bundesliga,2324,RB Leipzig,Mohamed Simakan,FRA,DF,23-292,2000,18.5,1116,1286,86.8,20096,6934,434,484,89.7,599,648,92.4,73,127,57.5,1,1.2,1.0,-0.2,7,96,1,0,86
GER-Bundesliga,2324,RB Leipzig,Nicolas Seiwald,AUT,MF,22-291,2001,3.8,152,186,81.7,2567,746,76,88,86.4,59,67,88.1,14,21,66.7,1,0.1,0.2,0.9,2,10,3,0,13
GER-Bundesliga,2324,RB Leipzig,Péter Gulácsi,HUN,GK,33-289,1990,3.0,83,95,87.4,1954,994,19,19,100.0,43,43,100.0,21,33,63.6,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,RB Leipzig,Timo Werner,GER,"FW,MF",27-350,1996,2.3,61,88,69.3,983,129,34,43,79.1,23,30,76.7,4,7,57.1,0,0.0,0.1,0.0,2,1,0,0,6
GER-Bundesliga,2324,RB Leipzig,Willi Orban,HUN,DF,31-108,1992,5.6,436,494,88.3,8082,3121,143,157,91.1,264,287,92.0,27,43,62.8,0,0.1,0.2,-0.1,1,16,1,0,31
GER-Bundesliga,2324,RB Leipzig,Xaver Schlager,AUT,MF,26-144,1997,19.6,1078,1234,87.4,18111,5137,524,571,91.8,453,490,92.4,82,112,73.2,3,2.2,2.4,0.8,19,119,17,2,147
GER-Bundesliga,2324,RB Leipzig,Xavi Simons,NED,MF,20-304,2003,18.9,704,898,78.4,10941,2967,391,444,88.1,218,271,80.4,64,105,61.0,7,4.6,5.4,2.4,47,61,39,1,104
GER-Bundesliga,2324,RB Leipzig,Yussuf Poulsen,DEN,FW,29-249,1994,11.2,168,232,72.4,2068,519,110,137,80.3,37,50,74.0,5,8,62.5,2,1.0,1.8,1.0,12,6,3,1,14
GER-Bundesliga,2324,Stuttgart,Alexander Nübel,GER,GK,27-142,1996,20.0,651,794,82.0,16516,11500,128,128,100.0,342,352,97.2,179,309,57.9,0,0.0,0.0,0.0,0,10,1,0,0
GER-Bundesliga,2324,Stuttgart,Angelo Stiller,GER,MF,22-321,2001,19.1,1328,1514,87.7,21102,6226,647,697,92.8,545,588,92.7,80,146,54.8,3,3.0,4.3,0.0,34,139,21,4,141
GER-Bundesliga,2324,Stuttgart,Anthony Rouault,FRA,DF,22-266,2001,7.9,537,618,86.9,8845,3414,268,291,92.1,218,237,92.0,40,61,65.6,2,0.8,1.0,1.2,5,48,4,1,44
GER-Bundesliga,2324,Stuttgart,Atakan Karazor,GER,MF,27-129,1996,19.9,1046,1189,88.0,15219,4263,561,617,90.9,403,440,91.6,33,46,71.7,2,1.8,1.6,0.2,21,98,14,2,91
GER-Bundesliga,2324,Stuttgart,Borna Sosa,CRO,"FW,DF",26-029,1998,0.5,27,43,62.8,481,122,16,17,94.1,7,13,53.8,4,11,36.4,0,0.3,0.1,-0.3,3,2,0,0,2
GER-Bundesliga,2324,Stuttgart,Chris Führich,GER,"FW,MF",26-041,1998,19.2,752,928,81.0,10020,2699,465,511,91.0,197,245,80.4,34,79,43.0,6,5.7,6.2,0.3,40,41,39,8,82
GER-Bundesliga,2324,Stuttgart,Dan-Axel Zagadou,FRA,DF,24-261,1999,16.1,1179,1361,86.6,21604,8514,454,493,92.1,599,661,90.6,107,174,61.5,0,0.3,0.7,-0.3,3,62,3,0,75
GER-Bundesliga,2324,Stuttgart,Deniz Undav,GER,FW,27-215,1996,14.4,325,442,73.5,4470,1147,188,233,80.7,98,123,79.7,13,21,61.9,5,3.3,3.4,1.7,20,27,19,1,47
GER-Bundesliga,2324,Stuttgart,Enzo Millot,FRA,"MF,FW",21-217,2002,16.5,753,911,82.7,10608,2504,432,480,90.0,236,286,82.5,39,69,56.5,2,2.8,3.4,-0.8,24,67,25,4,92
GER-Bundesliga,2324,Stuttgart,Fabian Bredlow,GER,GK,28-354,1995,2.0,65,99,65.7,1838,1371,18,19,94.7,19,20,95.0,28,60,46.7,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Stuttgart,Genki Haraguchi,JPN,MF,32-286,1991,0.2,10,13,76.9,151,53,6,7,85.7,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,3
GER-Bundesliga,2324,Stuttgart,Hiroki Ito,JPN,DF,24-283,1999,12.9,842,971,86.7,13752,4498,418,449,93.1,353,389,90.7,55,100,55.0,2,1.4,1.5,0.6,13,70,13,4,61
GER-Bundesliga,2324,Stuttgart,Jamie Leweling,GER,"FW,MF",22-358,2001,9.9,242,309,78.3,3419,719,147,166,88.6,66,87,75.9,14,26,53.8,2,2.5,2.5,-0.5,19,8,9,6,14
GER-Bundesliga,2324,Stuttgart,Jeong Woo-yeong,KOR,"MF,FW",24-152,1999,4.6,146,179,81.6,1850,417,95,112,84.8,30,38,78.9,7,8,87.5,2,0.9,1.2,1.1,6,13,1,0,14
GER-Bundesliga,2324,Stuttgart,Josha Vagnoman,GER,"DF,FW",23-070,2000,7.7,267,321,83.2,3573,840,165,180,91.7,79,100,79.0,6,13,46.2,2,1.2,1.2,0.8,5,12,4,1,18
GER-Bundesliga,2324,Stuttgart,Jovan Milošević,SRB,"FW,MF",18-203,2005,0.3,8,13,61.5,87,17,4,5,80.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
GER-Bundesliga,2324,Stuttgart,Leonidas Stergiou,SUI,DF,21-353,2002,1.6,88,100,88.0,1154,309,62,67,92.5,25,28,89.3,0,3,0.0,0,0.0,0.0,0.0,0,2,1,0,3
GER-Bundesliga,2324,Stuttgart,Lilian Egloff,GER,"MF,DF",21-183,2002,1.2,32,41,78.0,481,131,16,17,94.1,11,15,73.3,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,2
GER-Bundesliga,2324,Stuttgart,Luca Raimund,GER,"FW,MF",18-316,2005,0.3,15,22,68.2,192,18,10,13,76.9,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
GER-Bundesliga,2324,Stuttgart,Mahmoud Dahoud,GER,MF,28-049,1996,0.4,41,49,83.7,551,143,21,22,95.5,13,17,76.5,2,4,50.0,0,0.3,0.4,-0.3,4,3,1,1,2
GER-Bundesliga,2324,Stuttgart,Maximilian Mittelstädt,GER,DF,26-338,1997,13.1,791,931,85.0,11832,3592,429,461,93.1,288,339,85.0,37,61,60.7,2,2.0,3.1,0.0,13,52,22,13,74
GER-Bundesliga,2324,Stuttgart,Pascal Stenzel,GER,DF,27-336,1996,10.2,585,680,86.0,11160,3240,248,272,91.2,239,269,88.8,90,115,78.3,5,3.1,2.0,1.9,13,55,22,7,71
GER-Bundesliga,2324,Stuttgart,Roberto Massimo,GER,"FW,DF",23-130,2000,0.9,30,39,76.9,482,109,14,18,77.8,13,14,92.9,2,3,66.7,0,0.0,0.0,0.0,1,1,0,0,3
GER-Bundesliga,2324,Stuttgart,Samuele Di Benedetto,GER,MF,18-218,2005,0.1,10,11,90.9,107,2,7,7,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
GER-Bundesliga,2324,Stuttgart,Serhou Guirassy,GUI,FW,27-344,1996,12.7,321,392,81.9,3861,638,211,237,89.0,66,81,81.5,11,13,84.6,1,3.7,2.8,-2.7,27,21,10,0,24
GER-Bundesliga,2324,Stuttgart,Silas Katompa,COD,"FW,MF",25-136,1998,8.1,148,202,73.3,2443,393,60,74,81.1,72,86,83.7,9,19,47.4,1,1.0,0.6,0.0,10,4,9,0,17
GER-Bundesliga,2324,Stuttgart,Waldemar Anton,GER,DF,27-214,1996,21.6,1526,1739,87.8,27224,9566,593,624,95.0,822,887,92.7,91,182,50.0,3,0.8,1.3,2.2,5,111,5,2,118
GER-Bundesliga,2324,Union Berlin,Alex Král,CZE,MF,25-276,1998,13.3,280,405,69.1,4698,1257,123,152,80.9,133,175,76.0,17,46,37.0,0,0.3,0.3,-0.3,4,26,3,1,37
GER-Bundesliga,2324,Union Berlin,Alexander Schwolow,GER,GK,31-262,1992,1.0,29,36,80.6,814,589,4,4,100.0,15,15,100.0,10,17,58.8,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Union Berlin,Aljoscha Kemlein,GER,MF,19-201,2004,0.3,7,9,77.8,122,52,3,4,75.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
GER-Bundesliga,2324,Union Berlin,András Schäfer,HUN,MF,24-312,1999,5.4,154,204,75.5,2303,581,83,95,87.4,57,74,77.0,7,13,53.8,1,1.0,0.5,0.0,8,7,5,0,21
GER-Bundesliga,2324,Union Berlin,Aïssa Laïdouni,TUN,MF,27-068,1996,10.5,343,436,78.7,5716,1595,163,193,84.5,137,169,81.1,30,44,68.2,3,0.5,1.2,2.5,8,33,12,3,48
GER-Bundesliga,2324,Union Berlin,Benedict Hollerbach,GER,"FW,MF",22-278,2001,8.5,147,228,64.5,2229,583,86,108,79.6,43,68,63.2,12,18,66.7,0,0.8,0.9,-0.8,9,11,10,3,19
GER-Bundesliga,2324,Union Berlin,Brenden Aaronson,USA,"MF,FW",23-120,2000,5.5,114,155,73.5,1546,391,71,79,89.9,33,45,73.3,3,12,25.0,0,0.8,0.8,-0.8,8,12,1,0,11
GER-Bundesliga,2324,Union Berlin,Chris Bedia,CIV,FW,27-351,1996,0.3,1,3,33.3,6,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Union Berlin,Christopher Trimmel,AUT,DF,36-360,1987,12.0,424,628,67.5,8018,3580,185,220,84.1,166,224,74.1,65,150,43.3,1,1.1,1.9,-0.1,25,48,17,9,57
GER-Bundesliga,2324,Union Berlin,Danilho Doekhi,NED,DF,25-234,1998,12.0,394,482,81.7,7634,3097,136,150,90.7,208,237,87.8,43,79,54.4,0,0.2,0.7,-0.2,3,46,7,1,39
GER-Bundesliga,2324,Union Berlin,David Datro Fofana,CIV,"FW,MF",21-059,2002,7.6,106,152,69.7,1536,346,65,83,78.3,25,39,64.1,9,10,90.0,0,0.3,0.3,-0.3,5,5,8,2,14
GER-Bundesliga,2324,Union Berlin,Diogo Leite,POR,DF,25-027,1999,19.9,891,1101,80.9,16688,6657,350,386,90.7,432,495,87.3,94,173,54.3,0,0.1,0.4,-0.1,4,84,2,1,88
GER-Bundesliga,2324,Union Berlin,Frederik Rønnow,DEN,GK,31-199,1992,21.0,583,835,69.8,15907,11621,116,116,100.0,305,311,98.1,160,404,39.6,0,0.0,0.1,0.0,0,19,0,0,0
GER-Bundesliga,2324,Union Berlin,Janik Haberer,GER,MF,29-323,1994,12.1,363,491,73.9,5713,1501,194,238,81.5,128,161,79.5,26,58,44.8,1,0.5,1.2,0.5,8,21,5,4,38
GER-Bundesliga,2324,Union Berlin,Jordan Pefok,USA,FW,27-299,1996,0.3,2,5,40.0,14,0,2,3,66.7,0,0,,0,0,,0,0.1,0.0,-0.1,2,0,0,0,0
GER-Bundesliga,2324,Union Berlin,Josip Juranović,CRO,DF,28-187,1995,7.7,297,402,73.9,5646,2671,123,136,90.4,129,159,81.1,42,90,46.7,2,1.5,2.0,0.5,20,29,9,3,36
GER-Bundesliga,2324,Union Berlin,Jérôme Roussillon,FRA,DF,31-044,1993,6.6,218,292,74.7,3528,1731,112,131,85.5,86,109,78.9,15,34,44.1,1,0.4,0.4,0.6,6,18,5,2,34
GER-Bundesliga,2324,Union Berlin,Kevin Behrens,GER,FW,33-016,1991,14.0,215,336,64.0,3380,842,116,162,71.6,67,97,69.1,22,34,64.7,0,0.9,1.2,-0.9,16,24,7,0,45
GER-Bundesliga,2324,Union Berlin,Kevin Vogt,GER,DF,32-149,1991,5.7,256,280,91.4,5899,2173,44,45,97.8,161,164,98.2,49,67,73.1,0,0.0,0.1,0.0,1,11,0,0,10
GER-Bundesliga,2324,Union Berlin,Kevin Volland,GER,"FW,MF",31-204,1992,9.2,157,258,60.9,2527,940,86,117,73.5,48,75,64.0,14,34,41.2,4,1.8,1.3,2.2,14,16,14,5,25
GER-Bundesliga,2324,Union Berlin,Leonardo Bonucci,ITA,DF,36-294,1987,5.1,190,248,76.6,4063,1911,51,58,87.9,105,118,89.0,31,67,46.3,0,0.3,0.1,-0.3,2,17,2,1,21
GER-Bundesliga,2324,Union Berlin,Lucas Tousart,FRA,MF,26-296,1997,8.0,191,256,74.6,3201,836,90,117,76.9,78,93,83.9,18,29,62.1,0,0.5,0.1,-0.5,4,16,0,0,19
GER-Bundesliga,2324,Union Berlin,Mikkel Kaufmann,DEN,FW,23-047,2001,2.1,30,51,58.8,399,129,19,24,79.2,7,12,58.3,2,5,40.0,0,0.0,0.1,0.0,0,4,1,0,6
GER-Bundesliga,2324,Union Berlin,Miloš Pantović,SRB,MF,27-227,1996,0.2,4,7,57.1,45,23,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Union Berlin,Paul Jaeckel,GER,DF,25-212,1998,2.5,118,133,88.7,2335,932,44,45,97.8,52,58,89.7,20,25,80.0,0,0.1,0.1,-0.1,2,7,1,0,14
GER-Bundesliga,2324,Union Berlin,Rani Khedira,GER,MF,30-023,1994,6.5,136,196,69.4,2197,466,65,82,79.3,61,81,75.3,7,16,43.8,0,0.1,0.2,-0.1,2,9,1,1,9
GER-Bundesliga,2324,Union Berlin,Robin Gosens,GER,DF,29-229,1994,16.2,550,743,74.0,9075,4276,282,338,83.4,206,276,74.6,52,89,58.4,0,2.1,1.8,-2.1,21,56,22,13,70
GER-Bundesliga,2324,Union Berlin,Robin Knoche,GER,DF,31-273,1992,17.6,782,954,82.0,15328,5902,229,258,88.8,460,505,91.1,80,164,48.8,0,0.2,0.2,-0.2,2,41,3,0,64
GER-Bundesliga,2324,Union Berlin,Sheraldo Becker,SUR,"FW,MF",29-010,1995,7.2,183,280,65.4,3161,770,92,117,78.6,70,108,64.8,18,36,50.0,1,1.8,1.6,-0.8,12,15,12,7,20
GER-Bundesliga,2324,Union Berlin,Yorbe Vertessen,BEL,FW,23-042,2001,1.4,17,25,68.0,198,44,13,17,76.5,4,7,57.1,0,0,,1,0.6,0.2,0.4,3,3,0,0,3
GER-Bundesliga,2324,Werder Bremen,Amos Pieper,GER,DF,26-033,1998,6.0,219,294,74.5,4363,1814,76,97,78.4,108,124,87.1,32,62,51.6,0,0.8,0.4,-0.8,2,23,2,0,23
GER-Bundesliga,2324,Werder Bremen,Anthony Jung,GER,"DF,FW",32-108,1991,19.4,997,1165,85.6,18109,6723,407,443,91.9,474,530,89.4,98,148,66.2,0,0.3,0.8,-0.3,4,53,8,4,70
GER-Bundesliga,2324,Werder Bremen,Christian Groß,GER,"MF,DF",35-011,1989,5.2,205,254,80.7,3668,1362,69,88,78.4,126,143,88.1,8,16,50.0,1,0.2,0.2,0.8,5,18,2,1,23
GER-Bundesliga,2324,Werder Bremen,Dawid Kownacki,POL,FW,26-342,1997,2.7,49,76,64.5,571,98,30,40,75.0,10,20,50.0,2,3,66.7,0,0.1,0.6,-0.1,3,5,1,0,4
GER-Bundesliga,2324,Werder Bremen,Felix Agu,GER,"DF,MF",24-145,1999,8.0,186,277,67.1,2876,1153,94,118,79.7,76,98,77.6,12,29,41.4,0,0.3,0.9,-0.3,4,8,7,2,14
GER-Bundesliga,2324,Werder Bremen,Ilia Gruev,BUL,MF,23-289,2000,0.0,1,1,100.0,13,14,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Werder Bremen,Jens Stage,DEN,MF,27-103,1996,20.8,636,843,75.4,10366,3421,321,410,78.3,268,333,80.5,38,59,64.4,1,1.4,1.5,-0.4,20,56,11,3,70
GER-Bundesliga,2324,Werder Bremen,Jiří Pavlenka,CZE,GK,31-311,1992,7.0,187,246,76.0,4952,3302,39,39,100.0,93,93,100.0,54,113,47.8,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Werder Bremen,Julián Malatini,ARG,DF,22-264,2001,1.6,81,103,78.6,1319,462,41,46,89.1,33,38,86.8,4,10,40.0,0,0.1,0.0,-0.1,1,12,0,0,11
GER-Bundesliga,2324,Werder Bremen,Justin Njinmah,GER,FW,23-096,2000,8.5,111,167,66.5,1421,287,73,98,74.5,26,38,68.4,4,6,66.7,2,1.9,1.7,0.1,11,3,8,1,9
GER-Bundesliga,2324,Werder Bremen,Leon Opitz,GER,"FW,DF",18-314,2005,0.2,4,10,40.0,84,38,2,3,66.7,1,4,25.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Werder Bremen,Leonardo Bittencourt,GER,MF,30-062,1993,9.8,336,423,79.4,5418,1330,165,186,88.7,136,161,84.5,26,51,51.0,1,1.2,1.4,-0.2,10,29,9,2,41
GER-Bundesliga,2324,Werder Bremen,Marco Friedl,AUT,DF,25-340,1998,17.4,678,800,84.8,13985,4665,191,211,90.5,395,422,93.6,89,149,59.7,0,0.1,0.3,-0.1,1,38,4,1,49
GER-Bundesliga,2324,Werder Bremen,Marvin Ducksch,GER,FW,29-349,1994,18.5,360,631,57.1,6221,2142,173,236,73.3,118,201,58.7,53,132,40.2,4,4.5,3.6,-0.5,38,28,17,1,61
GER-Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28-222,1995,15.0,501,617,81.2,14458,9778,58,58,100.0,234,239,97.9,209,315,66.3,0,0.2,0.1,-0.2,3,10,1,0,1
GER-Bundesliga,2324,Werder Bremen,Miloš Veljković,SRB,DF,28-146,1995,12.2,639,771,82.9,13814,4514,181,211,85.8,348,381,91.3,108,164,65.9,1,0.5,0.6,0.5,3,35,9,4,47
GER-Bundesliga,2324,Werder Bremen,Mitchell Weiser,GER,"DF,FW",29-304,1994,18.3,682,927,73.6,10697,4441,380,450,84.4,248,327,75.8,40,85,47.1,5,2.7,3.6,2.3,19,43,24,15,64
GER-Bundesliga,2324,Werder Bremen,Naby Keïta,GUI,MF,29-009,1995,0.9,35,45,77.8,569,203,14,16,87.5,17,22,77.3,2,4,50.0,0,0.0,0.0,0.0,0,6,2,0,8
GER-Bundesliga,2324,Werder Bremen,Nick Woltemade,GER,"FW,MF",22-005,2002,5.1,127,174,73.0,1775,413,72,92,78.3,38,49,77.6,9,15,60.0,0,0.9,0.9,-0.9,11,8,5,0,12
GER-Bundesliga,2324,Werder Bremen,Niclas Füllkrug,GER,FW,31-010,1993,2.0,48,66,72.7,799,274,27,33,81.8,15,22,68.2,6,7,85.7,0,0.3,0.4,-0.3,2,7,2,0,9
GER-Bundesliga,2324,Werder Bremen,Nicolai Rapp,GER,DF,27-068,1996,0.8,32,40,80.0,563,213,12,14,85.7,18,22,81.8,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,2
GER-Bundesliga,2324,Werder Bremen,Niklas Stark,GER,DF,28-311,1995,10.8,415,531,78.2,8602,3876,122,151,80.8,230,256,89.8,61,112,54.5,0,0.0,0.1,0.0,0,22,3,0,28
GER-Bundesliga,2324,Werder Bremen,Oliver Burke,SCO,FW,26-318,1997,0.4,6,12,50.0,98,18,2,4,50.0,4,6,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Werder Bremen,Olivier Deman,BEL,DF,23-319,2000,12.2,418,565,74.0,7368,2350,188,217,86.6,173,221,78.3,49,89,55.1,1,0.5,0.8,0.5,9,27,10,5,33
GER-Bundesliga,2324,Werder Bremen,Rafael Borré,COL,FW,28-157,1995,11.0,223,301,74.1,3375,679,135,166,81.3,63,82,76.8,13,20,65.0,0,1.8,1.9,-1.8,13,20,9,3,28
GER-Bundesliga,2324,Werder Bremen,Romano Schmid,AUT,MF,24-023,2000,18.2,611,792,77.1,9754,3204,312,380,82.1,224,276,81.2,52,80,65.0,3,3.2,3.8,-0.2,27,64,34,8,101
GER-Bundesliga,2324,Werder Bremen,Senne Lynen,BEL,MF,25-000,1999,9.9,331,420,78.8,5770,1842,145,174,83.3,145,180,80.6,34,49,69.4,3,1.5,0.8,1.5,10,24,3,1,25
GER-Bundesliga,2324,Werder Bremen,Skelly Alvero,FRA,MF,21-291,2002,0.1,7,11,63.6,118,10,3,6,50.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
GER-Bundesliga,2324,Wolfsburg,Amin Sarr,SWE,"FW,MF",22-345,2001,1.2,14,27,51.9,162,43,9,16,56.3,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2
GER-Bundesliga,2324,Wolfsburg,Aster Vranckx,BEL,MF,21-138,2002,9.4,371,435,85.3,6344,1341,173,191,90.6,146,161,90.7,39,61,63.9,0,0.2,0.3,-0.2,4,25,4,2,37
GER-Bundesliga,2324,Wolfsburg,Cedric Zesiger,SUI,DF,25-240,1998,10.9,619,739,83.8,12073,4244,182,194,93.8,383,419,91.4,50,97,51.5,0,0.0,0.1,0.0,0,44,1,0,53
GER-Bundesliga,2324,Wolfsburg,Dženan Pejčinović,GER,FW,19-004,2005,0.3,5,9,55.6,70,0,3,5,60.0,2,3,66.7,0,0,,0,0.1,0.0,-0.1,2,0,0,0,0
GER-Bundesliga,2324,Wolfsburg,Jakub Kamiński,POL,"FW,MF",21-259,2002,3.3,80,96,83.3,1201,347,49,52,94.2,28,32,87.5,3,9,33.3,0,0.2,0.9,-0.2,3,7,6,2,14
GER-Bundesliga,2324,Wolfsburg,Joakim Mæhle,DEN,DF,26-275,1997,19.5,900,1119,80.4,13642,4647,502,546,91.9,328,402,81.6,42,90,46.7,2,2.1,3.8,-0.1,16,59,18,6,80
GER-Bundesliga,2324,Wolfsburg,Jonas Wind,DEN,FW,25-012,1999,21.4,338,485,69.7,5023,1339,192,255,75.3,113,150,75.3,18,25,72.0,5,3.8,2.9,1.2,25,28,18,0,60
